Taxon	Module	FS46_2017_S39_interleaved_Abundance-RPKs	FS06_2016_S5_interleaved_Abundance-RPKs	FS31_2017_S24_interleaved_Abundance-RPKs	FS41_2017_S34_interleaved_Abundance-RPKs	FS00_2017_S57_interleaved_Abundance-RPKs	FS56_2017_S49_interleaved_Abundance-RPKs	FS25_2017_S56_interleaved_Abundance-RPKs	FS09_2016_S8_interleaved_Abundance-RPKs	FS22_2017_S16_interleaved_Abundance-RPKs	FS61_2017_S54_interleaved_Abundance-RPKs	FS34_2017_S27_interleaved_Abundance-RPKs	FS47_2017_S40_interleaved_Abundance-RPKs	FS57_2017_S50_interleaved_Abundance-RPKs	FS05_2016_S4_interleaved_Abundance-RPKs	FS44_2017_S37_interleaved_Abundance-RPKs	FS54_2017_S47_interleaved_Abundance-RPKs	FS12_2016_S11_interleaved_Abundance-RPKs	FS48_2017_S41_interleaved_Abundance-RPKs	FS58_2017_S51_interleaved_Abundance-RPKs	FS28_2017_S21_interleaved_Abundance-RPKs	FS01_2016_S1_interleaved_Abundance-RPKs	FS08_2016_S7_interleaved_Abundance-RPKs	FS32_2017_S25_interleaved_Abundance-RPKs	FS38_2017_S31_interleaved_Abundance-RPKs	FS42_2017_S35_interleaved_Abundance-RPKs	FS29_2017_S22_interleaved_Abundance-RPKs	FS62_2017_S55_interleaved_Abundance-RPKs	FS23_2017_S17_interleaved_Abundance-RPKs	FS39_2017_S32_interleaved_Abundance-RPKs	FS35_2017_S28_interleaved_Abundance-RPKs	FS45_2017_S38_interleaved_Abundance-RPKs	FS55_2017_S48_interleaved_Abundance-RPKs	FS02_2016_S2_interleaved_Abundance-RPKs	FS07_2016_S6_interleaved_Abundance-RPKs	FS30_2017_S23_interleaved_Abundance-RPKs	FS16_2017_S13_interleaved_Abundance-RPKs	FS13_2016_S12_interleaved_Abundance-RPKs	FS40_2017_S33_interleaved_Abundance-RPKs	FS52_2017_S44_interleaved_Abundance-RPKs	FS50_2017_S43_interleaved_Abundance-RPKs	FS60_2017_S53_interleaved_Abundance-RPKs	FS10_2016_S9_interleaved_Abundance-RPKs	FS37_2017_S30_interleaved_Abundance-RPKs	FS17_2017_S14_interleaved_Abundance-RPKs	FS19_2017_S15_interleaved_Abundance-RPKs	FS33_2017_S26_interleaved_Abundance-RPKs	FS43_2017_S36_interleaved_Abundance-RPKs	FS27_2017_S20_interleaved_Abundance-RPKs	FS53_2017_S46_interleaved_Abundance-RPKs	FS59_2017_S52_interleaved_Abundance-RPKs	FS51_2017_S45_interleaved_Abundance-RPKs	FS00B_2017_S58_interleaved_Abundance-RPKs	FS24_2017_S18_interleaved_Abundance-RPKs	FS26_2017_S19_interleaved_Abundance-RPKs	FS49_2017_S42_interleaved_Abundance-RPKs	FS36_2017_S29_interleaved_Abundance-RPKs	FS11_2016_S10_interleaved_Abundance-RPKs
g__Lactobacillus.s__Lactobacillus_koreensis	MGB036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.961299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48303	0.0	0.0
g__Stenotrophomonas.s__Stenotrophomonas_indicatrix	MGB018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.569943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Stenotrophomonas.s__Stenotrophomonas_indicatrix	MGB036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_protegens	MGB016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1431565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_protegens	MGB036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.931013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_protegens	MGB047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0897011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Dermacoccus.s__Dermacoccus_nishinomiyaensis	MGB047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41884	0.0	0.0
g__Dermacoccus.s__Dermacoccus_nishinomiyaensis	MGB019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69231	0.0	0.0
g__Klebsiella.s__Klebsiella_variicola	MGB038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74041	0.0	0.0	0.0	0.0	0.0
g__Klebsiella.s__Klebsiella_variicola	MGB006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.844194	0.0	0.0	0.0	0.0	0.0
