Module	AF58_S44__interleaved_Abundance-RPKs	AF60_S79__interleaved_Abundance-RPKs	AF77_S14__interleaved_Abundance-RPKs	AF69_S38__interleaved_Abundance-RPKs	AF72_S54__interleaved_Abundance-RPKs	AF15_S62__interleaved_Abundance-RPKs	AF78_S16__interleaved_Abundance-RPKs	AF28_S21__interleaved_Abundance-RPKs	AF61_S50__interleaved_Abundance-RPKs	AF11_S70__interleaved_Abundance-RPKs	AF33_S15__interleaved_Abundance-RPKs	AF29_S10__interleaved_Abundance-RPKs	AF01_S88__interleaved_Abundance-RPKs	AF14_S47__interleaved_Abundance-RPKs	AF70_S17__interleaved_Abundance-RPKs	AF83_S53__interleaved_Abundance-RPKs	AF03_S22__interleaved_Abundance-RPKs	AF24_S65__interleaved_Abundance-RPKs	AF23_S76__interleaved_Abundance-RPKs	AF22_S59__interleaved_Abundance-RPKs	AF16_S12__interleaved_Abundance-RPKs	AF46_S84__interleaved_Abundance-RPKs	AF19_S87__interleaved_Abundance-RPKs	AF76_S40__interleaved_Abundance-RPKs	AF51_S34__interleaved_Abundance-RPKs	AF18_S72__interleaved_Abundance-RPKs	AF75_S28__interleaved_Abundance-RPKs	AF35_S19__interleaved_Abundance-RPKs	AF38_S55__interleaved_Abundance-RPKs	AF42_S33__interleaved_Abundance-RPKs	AF41_S66__interleaved_Abundance-RPKs	AF89_S94__interleaved_Abundance-RPKs	AF90_S9__interleaved_Abundance-RPKs	AF27_S52__interleaved_Abundance-RPKs	AF54_S1__interleaved_Abundance-RPKs	AF93_S77__interleaved_Abundance-RPKs	AF32_S2__interleaved_Abundance-RPKs	AF55_S20__interleaved_Abundance-RPKs	AF04_S45__interleaved_Abundance-RPKs	AF10_S92__interleaved_Abundance-RPKs	AF53_S42__interleaved_Abundance-RPKs	AF80_S37__interleaved_Abundance-RPKs	AF44_S31__interleaved_Abundance-RPKs	AF92_S63__interleaved_Abundance-RPKs	AF34_S41__interleaved_Abundance-RPKs	AF06_S67__interleaved_Abundance-RPKs	AF65_S80__interleaved_Abundance-RPKs	AF74_S35__interleaved_Abundance-RPKs	AF91_S23__interleaved_Abundance-RPKs	AF64_S82__interleaved_Abundance-RPKs	AF48_S89__interleaved_Abundance-RPKs	AF88_S48__interleaved_Abundance-RPKs	AF25_S7__interleaved_Abundance-RPKs	AF26_S11__interleaved_Abundance-RPKs	AF84_S8__interleaved_Abundance-RPKs	AF62_S71__interleaved_Abundance-RPKs	AF94_S51__interleaved_Abundance-RPKs	AF02_S91__interleaved_Abundance-RPKs	AF86_S24__interleaved_Abundance-RPKs	AF59_S75__interleaved_Abundance-RPKs	AF79_S93__interleaved_Abundance-RPKs	AF81_S6__interleaved_Abundance-RPKs	AF47_S74__interleaved_Abundance-RPKs	AF82_S5__interleaved_Abundance-RPKs	AF37_S4__interleaved_Abundance-RPKs	AF67_S46__interleaved_Abundance-RPKs	AF12_S32__interleaved_Abundance-RPKs	AF45_S73__interleaved_Abundance-RPKs	AF63_S57__interleaved_Abundance-RPKs	AF57_S18__interleaved_Abundance-RPKs	AF52_S83__interleaved_Abundance-RPKs	AF71_S39__interleaved_Abundance-RPKs	AF05_S69__interleaved_Abundance-RPKs	AF39_S49__interleaved_Abundance-RPKs	AF08_S78__interleaved_Abundance-RPKs	AF49_S36__interleaved_Abundance-RPKs	AF73_S58__interleaved_Abundance-RPKs	AF09_S68__interleaved_Abundance-RPKs	AF31_S3__interleaved_Abundance-RPKs	AF40_S27__interleaved_Abundance-RPKs	AF87_S30__interleaved_Abundance-RPKs	AF21_S85__interleaved_Abundance-RPKs	AF43_S86__interleaved_Abundance-RPKs	AF66_S60__interleaved_Abundance-RPKs	AF50_S90__interleaved_Abundance-RPKs	AF36_S26__interleaved_Abundance-RPKs	AF20_S56__interleaved_Abundance-RPKs	AF68_S43__interleaved_Abundance-RPKs	AF85_S81__interleaved_Abundance-RPKs	AF30_S61__interleaved_Abundance-RPKs	AF07_S29__interleaved_Abundance-RPKs	AF17_S25__interleaved_Abundance-RPKs	AF56_S64__interleaved_Abundance-RPKs
MGB037	0.0	0.0	212.04649999999998	0.0	19.75295	28.90684	11.320635	210.1745	0.0	118.00515	0.0	59.50385	0.0	13.88195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.76566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0883	0.0	30.9005	0.0	14.22035	0.0	223.975	76.5074	0.0	29.31525	0.0	0.0	19.07162	0.0	0.0	0.0	0.0	0.0	166.73393	17.7037	51.767799999999994	0.0	49.59705	2.65158	26.9106	0.0	0.0	0.0	0.0	55.10425	0.0	0.0	0.0	0.0	0.0	65.21295	0.0	0.0	3.6737900000000003	0.0	0.0	0.0	0.0	135.21769999999998	0.0	0.0	0.0	0.0	68.475	202.06799999999998	0.0	0.0	0.0	8.43767	0.0	0.0	0.0	64.45871	149.17875	0.0	0.0	13.601519999999999	40.8398
MGB015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.54374	0.0	0.0	0.0	0.0	0.0	0.0	39.308	0.0	0.0	36.5103	13.4243	0.0	0.0	0.0	0.409197	0.0	0.0	153.957	3.24871	6.50857	0.0	0.0	0.0	0.0	51.723	0.0	25.1817	0.0	0.0	0.0	0.236639	0.0	0.0	6.86066	0.0	0.0	0.0	0.0	0.0	1.0538	1.81734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62758	0.0	0.0	1.73755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.5946	1.63848	0.0	0.0	0.0	26.1991	0.0	0.0	0.0	0.0
MGB038	390.293	0.0	0.0	154.819	602.432	33.3922	0.93688	0.0	0.0	39.5197	0.0	0.0	0.0	15.5265	31.6638	207.975	45.2495	115.071	13.5121	0.0	66.0839	1.59218	0.0	42.7813	10.5229	0.0	0.0	0.0	10.6316	0.0	0.0	107.32	18.746	0.0	35.0462	0.0	0.0	2.04664	45.2571	53.8761	24.9742	446.947	214.418	0.0	46.429	64.8709	0.0	0.0	0.0	0.0	218.622	5.62725	39.8943	1.41595	50.6137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	297.072	12.8496	2.12674	0.0	2.38299	0.0	25.2308	74.8439	26.363	109.784	0.0	0.0	2.36907	0.0	6.0724	122.091	0.535806	0.0	13.726	0.0	11.3368	64.4364	0.0	0.0	15.9981	180.488	4.4236	0.0	0.0	1.46555	85.0114
MGB016	0.0	0.0	0.0	0.0	20.4237	0.0	0.0	0.0	0.0	34.408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38015	1.26652	0.0	0.0	0.0	1.85031	0.0	0.0	0.0	8.712525	0.0	26.96295	0.0	0.0	0.0	0.0	2.70022	0.0	0.0	0.0	0.0	6.02785	42.6253	0.0	0.0	0.0	0.0	20.5413	0.0	2.04491	0.0	12.031945	0.0	0.0	0.786925	0.0	45.2293	0.0	4.42833	0.0	0.0	0.0	0.0	0.0	4.038742500000001	1.94015	0.0	0.0	0.0	0.0	0.0	3.005505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68817	0.0	0.0	0.0	0.0	3.88675	34.7446	0.0	0.0	0.0	46.4735
MGB039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.350334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45116	0.0	0.0	0.729898	0.0	0.0	0.0	0.0	0.0	0.701709	0.491223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB018	0.0	0.0	132.933	0.0	21.3895	0.0	0.0	111.251	0.0	37.3618	0.0	9.25997	0.0	17.341	0.0	0.0	0.0	0.0	2.26406	0.0	0.0	0.0	2.02881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.63	0.0	4.67858	4.10182	1.99821	0.0	121.162	13.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24915	9.11612	0.0	0.0	8.67657	0.0	0.49019	0.0	0.0	0.0	0.0	0.0	0.0	9.47434	0.0	0.0	0.0	38.8519	0.0	0.0	10.057	0.0	0.0	0.0	0.0	23.0963	0.0	0.0	0.0	0.0	30.5818	87.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09374	0.0	0.0	0.0	27.2683	0.0
MGB033	235.356	0.0	133.109	0.0	229.868	65.564	0.0	0.0	0.0	72.6704	0.0	191.368	0.0	68.1666	326.932	436.673	245.398	116.962	652.363	265.154	203.117	0.0	626.461	84.4865	317.879	0.0	0.0	0.0	38.4048	284.348	457.393	76.5838	33.471	254.57	62.0094	487.305	136.361	400.396	277.958	27.4374	375.551	269.132	115.862	0.0	0.0	167.017	184.703	3.83556	522.282	389.879	127.827	0.0	98.9193	293.502	124.241	42.5651	0.0	0.0	0.0	46.368	0.0	71.8234	206.144	289.222	0.0	131.483	0.0	188.516	0.0	138.34	343.349	0.0	7.87665	522.049	0.0	78.5667	100.623	243.674	116.77	107.927	0.0	605.492	8.8737	495.805	0.0	0.0	0.0	236.832	98.1606	0.0	0.0	35.1039	58.3891
MGB055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.66243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB034	0.0	0.0	0.0	0.0	0.0	86.2388	0.0	0.0	0.0	0.0	5.9516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.1806	79.43045000000001	17.1856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.2705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.584	0.0	0.0	0.0	28.4727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.845185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.1735	0.0	0.0	0.0	0.0	0.0	20.9268	0.0	0.0	0.0	0.0
MGB056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.204	0.0	0.0	0.0	2.71924	0.0	0.0	0.0	4.61456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.80349	0.0	0.0	0.0	0.0	39.51	0.0	0.0	0.0	17.792	0.0	0.0	0.0	42.6142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8922	76.5212	0.0	0.0	0.0	0.0
