Module,Pathway,Annotation,Molecule
MGB001,Serotonin synthesis I,Tryptophan metabolism,Serotonin
MGB002 ,Serotonin synthesis II,Tryptophan metabolism,Serotonin
MGB003,Melatonin synthesis,Tryptophan metabolism,Melatonin
MGB004,Kynurenine synthesis,Tryptophan metabolism,Kynurenine
MGB005,Tryptophan synthesis,Tryptophan metabolism,Tryptophan
MGB006,Glutamate synthesis I,Biogenic amine metabolism,Glutamate
MGB007,Glutamate synthesis II,Biogenic amine metabolism,Glutamate
MGB008,Acetylcholine synthesis,Biogenic amine metabolism,Acetylcholine
MGB009,Histamine synthesis,Biogenic amine metabolism,Histamine
MGB010,Histamine degradation,Biogenic amine metabolism,Histamine
MGB011,Cortisol degradation,Steroid metabolism,Cortisol
MGB012,Dopamine synthesis,Biogenic amine metabolism,Dopamine
MGB013,Noradrenaline synthesis,Biogenic amine metabolism,Noradrenaline
MGB014,Adrenaline synthesis,Biogenic amine metabolism,Adrenaline
MGB015,p-Cresol synthesis,Tyrosine metabolism,p-Cresol
MGB016,p-Cresol degradation,Tyrosine metabolism,p-Cresol
MGB017,IPA synthesis (Clostridium sporogenes pathway),Tryptophan metabolism,Indle
MGB018,Kynurenine degradation,Tryptophan metabolism,Kynurenine
MGB019,GABA degradation,GABA metabolism,GABA
MGB020,GABA synthesis I,GABA metabolism,GABA
MGB021,GABA synthesis II,GABA metabolism,GABA
MGB022,GABA synthesis III,GABA metabolism,GABA
MGB023,Dopamine degradation,Biogenic amine metabolism,Dopamine
MGB024,DOPAC synthesis,Biogenic amine metabolism,Dopamine
MGB025,Nitric oxide synthesis I (NO synthase),NO metabolism,NO
MGB026,Nitric oxide synthesis II (nitrite reductase),NO metabolism,NO
MGB027,Nitric oxide degradation I (NO dioxygenase),NO metabolism,NO
MGB028,Nitric oxide degradation II (NO reductase),NO metabolism,NO
MGB029,ClpB (ATP-dependent chaperone protein),Heat shock protein,HSP
MGB030,Polysaccharide A,Polysacchride metabolism,Sugar
MGB031,17-beta-Estradiol degradation,Steroid metabolism,Estrogen
MGB032,Quinolinic acid synthesis,Tryptophan metabolism,Quinolinic acid
MGB033,Quinolinic acid degradation,Tryptophan metabolism,Quinolinic acid
MGB034,Isovaleric acid synthesis I (KADH pathway),LCFA synthesis,SCFA
MGB035,Isovaleric acid synthesis II (KADC pathway),LCFA synthesis,SCFA
MGB036,S-Adenosylmethionine (SAM) synthesis,S-Adenosylmethionine (SAM) synthesis,SAM
MGB037,Inositol synthesis,Sugar metabolism,Inositol
MGB038,Inositol degradation,Sugar metabolism,Inositol
MGB039,g-Hydroxybutyric acid (GHB) degradation,GABA metabolism,GABA
MGB040,Menaquinone synthesis (vitamin K2) I,Vitamin K,VitaminK
MGB041 ,Menaquinone synthesis (vitamin K2) II,Vitamin K,VitaminK
MGB042,"PUFAs synthesis (AA, EPA, DHA)",PUFA metabolism,PUFA
MGB043,Acetate synthesis I,SCFA Metabolism,SCFA
MGB044,Acetate synthesis II,SCFA Metabolism,SCFA
MGB045,Acetate synthesis III,SCFA Metabolism,SCFA
MGB046,Acetate synthesis IV,SCFA Metabolism,SCFA
MGB047,Acetate degradation,SCFA Metabolism,SCFA
MGB048,Propionate synthesis I,SCFA Metabolism,SCFA
MGB049,Tryptophan degradation,Tryptophan metabolism,Tryptophan
MGB050,Glutamate degradation I,Biogenic amine metabolism,Glutamate
MGB051,Glutamate degradation II,Biogenic amine metabolism,Glutamate
MGB052,Butyrate synthesis I,SCFA Metabolism,SCFA
MGB053,Butyrate synthesis II,SCFA Metabolism,SCFA
MGB054,Propionate synthesis II,SCFA Metabolism,SCFA
MGB055,Propionate synthesis III,SCFA Metabolism,SCFA
MGB056,Propionate degradation I,SCFA Metabolism,SCFA
