Module	SRR11704907interleaved_Abundance-RPKs	SRR11704908interleaved_Abundance-RPKs	SRR11704909interleaved_Abundance-RPKs
MGB037	29.621885000000002	24.35059	24.104779999999998
MGB015	0.0	0.0244771	0.0
MGB038	3.69482	38.1131	11.043
MGB016	0.0	0.0883295	5.02329
MGB039	0.161751	0.0	0.0
MGB018	2.61815	1.62427	3.31513
MGB033	522.356	335.519	62.446
MGB012	0.0	0.0	0.6465034999999999
MGB034	0.0	0.0	4.31147
MGB056	0.0	0.0	4.50476
MGB035	10.0028	6.20064	18.4953
MGB036	535.277	410.379	95.0808
MGB031	401.068	213.956	14.9659
MGB032	0.10623225	0.218193	9.54681
MGB054	4.07901	13.3776	4.10077
MGB010	0.0	0.0	1.18034
MGB019	2.73883	1.68101	23.0435
MGB004	0.0	0.0	1.2794775
MGB026	0.0	0.0	1.0647
MGB048	0.0	0.0	4.790793
MGB005	27.5767	73.1464	22.070349999999998
MGB027	3.01414	1.68004	7.07579
MGB049	0.0	0.0	0.684408
MGB006	14.9325	60.3987	13.5276
MGB028	1.31354	1.69436	0.626775
MGB007	0.1595005	0.0	2.8509700000000002
MGB029	102.699	125.054	24.6783
MGB022	2.39858	1.42014	4.53646
MGB045	1.465862	6.2990128499999996	4.501685
MGB023	0.0	0.0	1.18034
MGB024	0.0	0.0	9.837819999999999
MGB047	5.7966	3.65449	18.6284
MGB025	0.0	0.0	0.302217
MGB040	0.0	0.0	26.98685
MGB043	33.8853	43.3794	54.8934
MGB021	0.0	0.0	0.640394
MGB008	7.16598	4.84678	9.12025
