Sample,ID,Country_specific,Country_broad
A1,H20,#N/A,#N/A
A2,KNC001,#N/A,#N/A
A3,KNC002,#N/A,#N/A
A4,KNC003,#N/A,#N/A
A5,Mc +ve,#N/A,#N/A
A6,CHN 8x1,China ,China 
A7,CHN 8x2,China ,China 
A8,CHN 24X1,China ,China 
A9,CHN 24X2,China ,China 
A10,C 8x1,Ireland,Ireland
A11,C 8x2,Ireland,Ireland
A12,C 24x1 ,Ireland,Ireland
B1,C 24x2,Ireland,Ireland
B2,Bel 8x1,Belgium ,Belgium 
B3,Bel 8x2,Belgium ,Belgium 
B4,Bel 24x1,Belgium ,Belgium 
B5,Bel 24x2,Belgium ,Belgium 
B6,GRK-A 8x1,Greece,Greece
B7,GRK-A 8x2,Greece,Greece
B8,GRK-A 24x1,Greece,Greece
B9,GRK-A 24x2,Greece,Greece
B10,B 8x1,Ireland,Ireland
B11,B 8x2,Ireland,Ireland
B12,B 24x1 ,Ireland,Ireland
C1,B 24x2,Ireland,Ireland
C2,ALA 8x1,Alaska ,United states
C3,ALA 8x2,Alaska ,United states
C4,ALA 24x1,Alaska ,United states
C5,ALA 24x2,Alaska ,United states
C6,ITA 8x1,Italy ,Italy 
C7,ITA 8x2,Italy ,Italy 
C8,ITA 24x1,Italy ,Italy 
C9,ITA 24x2,Italy ,Italy 
C10,UK 8x1,England ,UK
C11,UK 8x2,England ,UK
C12,UK 24x1,England ,UK
D1,UK 24x2,England ,UK
D2,ISR 8x1,Israel ,Israel 
D3,ISR 8x2,Israel ,Israel 
D4,ISR 24x1,Israel ,Israel 
D5,ISR 24x2,Israel ,Israel 
D6,DEN 8x1,Denmark ,Denmark 
D7,DEN 8x2,Denmark ,Denmark 
D8,DEN 24x1,Denmark ,Denmark 
D9,DEN 24x2,Denmark ,Denmark 
D10,TUN 8x1,Tunisia ,Tunisia 
D11,TUN 8x2,Tunisia ,Tunisia 
D12,TUN 24x1,Tunisia ,Tunisia 
E1,TUN 24x2,Tunisia ,Tunisia 
E2,LIS 8x1,England,UK
E3,LIS 8x2,England,UK
E4,LIS 24x1,England,UK
E5,LIS 24x2,England,UK
E6,X 8x1,Ireland,Ireland
E7,X 8x2,Ireland,Ireland
E8,X 24x1,Ireland,Ireland
E9,X 24x2,Ireland,Ireland
E10,JO 8x1,England,UK
E11,JO 8x2,England,UK
E12,JO 24x1,England,UK
F1,JO 24x2,England,UK
F2,EGT 8x1,England,UK
F3,EGT 8x2,England,UK
F4,EGT 24x1,England,UK
F5,EGT 24x2,England,UK
F6,COC 8x1,England,UK
F7,COC 8x2,England,UK
F8,COC 24x1,England,UK
F9,COC 24x2,England,UK
F10,GIN 8x1,England,UK
F11,GIN 8x2,England,UK
F12,GIN 24x1,England,UK
G1,GIN 24x2,England,UK
G2,CAN 8x1,Canada ,Canada 
G3,CAN 8x2,Canada ,Canada 
G4,CAN 24x1,Canada ,Canada 
G5,CAN 24x2,Canada ,Canada 
G6,POR 8x1,Portugal ,Portugal 
G7,POR 8x2,Portugal ,Portugal 
G8,POR 24x1,Portugal ,Portugal 
