Module	FS06_2016_S5_interleaved_Abundance-RPKs	FS25_2017_S56_interleaved_Abundance-RPKs	FS09_2016_S8_interleaved_Abundance-RPKs	FS34_2017_S27_interleaved_Abundance-RPKs	FS44_2017_S37_interleaved_Abundance-RPKs	FS54_2017_S47_interleaved_Abundance-RPKs	FS12_2016_S11_interleaved_Abundance-RPKs	FS62_2017_S55_interleaved_Abundance-RPKs	FS23_2017_S17_interleaved_Abundance-RPKs	FS39_2017_S32_interleaved_Abundance-RPKs	FS45_2017_S38_interleaved_Abundance-RPKs	FS07_2016_S6_interleaved_Abundance-RPKs	FS30_2017_S23_interleaved_Abundance-RPKs	FS13_2016_S12_interleaved_Abundance-RPKs	FS52_2017_S44_interleaved_Abundance-RPKs	FS50_2017_S43_interleaved_Abundance-RPKs	FS10_2016_S9_interleaved_Abundance-RPKs	FS17_2017_S14_interleaved_Abundance-RPKs	FS19_2017_S15_interleaved_Abundance-RPKs	FS33_2017_S26_interleaved_Abundance-RPKs	FS27_2017_S20_interleaved_Abundance-RPKs	FS53_2017_S46_interleaved_Abundance-RPKs	FS59_2017_S52_interleaved_Abundance-RPKs	FS51_2017_S45_interleaved_Abundance-RPKs	FS36_2017_S29_interleaved_Abundance-RPKs	FS46_2017_S39_interleaved_Abundance-RPKs	FS31_2017_S24_interleaved_Abundance-RPKs	FS41_2017_S34_interleaved_Abundance-RPKs	FS0A_2017_S57_interleaved_Abundance-RPKs	FS56_2017_S49_interleaved_Abundance-RPKs	FS22_2017_S16_interleaved_Abundance-RPKs	FS61_2017_S54_interleaved_Abundance-RPKs	FS47_2017_S40_interleaved_Abundance-RPKs	FS57_2017_S50_interleaved_Abundance-RPKs	FS05_2016_S4_interleaved_Abundance-RPKs	FS48_2017_S41_interleaved_Abundance-RPKs	FS58_2017_S51_interleaved_Abundance-RPKs	FS28_2017_S21_interleaved_Abundance-RPKs	FS01_2016_S1_interleaved_Abundance-RPKs	FS08_2016_S7_interleaved_Abundance-RPKs	FS32_2017_S25_interleaved_Abundance-RPKs	FS38_2017_S31_interleaved_Abundance-RPKs	FS42_2017_S35_interleaved_Abundance-RPKs	FS29_2017_S22_interleaved_Abundance-RPKs	FS35_2017_S28_interleaved_Abundance-RPKs	FS55_2017_S48_interleaved_Abundance-RPKs	FS02_2016_S2_interleaved_Abundance-RPKs	FS16_2017_S13_interleaved_Abundance-RPKs	FS40_2017_S33_interleaved_Abundance-RPKs	FS60_2017_S53_interleaved_Abundance-RPKs	FS37_2017_S30_interleaved_Abundance-RPKs	FS43_2017_S36_interleaved_Abundance-RPKs	FS0B_2017_S58_interleaved_Abundance-RPKs	FS24_2017_S18_interleaved_Abundance-RPKs	FS26_2017_S19_interleaved_Abundance-RPKs	FS49_2017_S42_interleaved_Abundance-RPKs	FS11_2016_S10_interleaved_Abundance-RPKs
MGB015	0.0	0.0	3.85787	0.0	0.0	5.49651	0.0	0.0	0.0	0.0	0.0	0.0	40.9351	0.0	0.0	6.22849	4.83771	0.0	73.8605	162.871	0.0	2.7514	27.3838	90.0732	0.0	0.0	14.2039	0.0	269.838	0.0	0.0	0.0	0.0	10.5515	0.0	0.0	9.7304	26.3696	0.0	0.0	142.068	0.0	0.0	1.25474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.978	0.0	0.0	0.0	34.8766
MGB037	0.0	0.0	53.43621	0.0	30.391635	0.0	0.0	0.0	0.0	0.0	44.72704999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.45637500000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.74558999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.27567499999999	0.0	2.2741249999999997	0.0	0.0	0.0	0.0	4.05628	0.0	0.0
MGB038	0.0	0.0	27.9667	0.0	4.72427	1.08732	0.0	0.0	81.2066	0.829914	3.31866	1.67954	0.0	150.002	11.0008	14.009	49.1349	12.1952	15.4868	10.3374	0.0	13.2936	1.01431	5.15496	0.0	0.0	0.0	21.4203	3.27415	64.7637	402.26	5.72923	28.4466	35.8267	966.637	3.32736	101.065	18.0798	0.0	1941.8	0.0	0.0	0.0	0.0	0.0	1.20092	9.91758	97.2719	2.1311	0.0	0.0	0.0	16.1545	0.0	0.0	14.383	148.543
MGB016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.853	3.538495	0.533115	18.922565	14.44015	10.38025	8.661059999999999	0.0	1.313755	0.0	34.61465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.091565	0.0	6.84335	0.0	0.0	10.2198	1.89465	1.065955	0.0	0.0	1.557595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7391	2.14948	0.0	0.0	3.1475	86.39689999999999
MGB039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2398	0.0	0.0	2.06744	0.0	0.0	0.0	53.2231	0.0	0.0	3.11873	0.0	0.0	0.0	3.24195	0.0	2.04211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.6398	0.0	0.0	18.3947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.36623	0.0	0.0	0.0	0.0
MGB018	0.0	0.0	0.0	0.0	1.81042	0.0	0.0	0.0	0.0	0.0	12.1683	0.0	0.0	2.77349	0.0	0.0	0.0	2.87002	10.5127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB033	0.0	0.0	47.1806	524.107	26.5945	6.72761	281.394	5.79792	136.509	41.3104	25.0834	0.0	77.8374	171.397	0.0	0.0	7.07459	51.1026	57.5483	71.6954	0.0	198.381	0.0	128.918	340.75	0.0	97.8397	191.844	155.093	85.5491	127.967	21.9266	0.0	100.61	0.0	24.8551	240.961	103.324	76.9368	411.418	89.7076	268.033	428.224	84.6222	6.96543	21.9236	0.0	171.244	144.574	27.4485	17.8341	0.0	48.1125	167.226	0.0	68.6726	0.0
MGB056	0.0	0.0	5.72375	0.0	0.0	6.38823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.99659	0.0	5.87829	8.98288	0.0	0.0	0.0	121.377	0.0	0.0	0.0	0.0	21.0786	0.0	0.0	0.0	0.0	13.5073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.1547	0.0	0.0	14.6482	0.0	0.0	0.0	15.6359	0.0	0.0	0.0	0.0
MGB034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.1723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB035	0.0	0.0	46.4435	0.0	33.8455	0.0	0.0	0.0	0.0	11.6642	62.1241	0.0	4.27531	153.789	0.0	0.0	0.0	8.80153	17.0406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.307	276.993	0.0	124.04	0.0	11.306	0.0	0.0	0.0	0.0	6.26756	0.0	52.7733	0.0	19.4195	0.0	0.0	0.0	0.0	84.2808	0.0	0.0	29.6652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
