Taxon	Module	SRR8830669_host_removed__interleaved_Abundance-RPKs	SRR8830667_host_removed__interleaved_Abundance-RPKs	SRR8830668_host_removed__interleaved_Abundance-RPKs	SRR8830666_host_removed__interleaved_Abundance-RPKs
g__Bacillus.s__Bacillus_subtilis_group	MGB004	13.4811	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis_group	MGB005	16.6861	3.61319	4.61208	19.9423
g__Bacillus.s__Bacillus_subtilis_group	MGB027	29.6989	2.55187	1.50069	17.3179
g__Bacillus.s__Bacillus_subtilis_group	MGB038	3.18592	1.28645	7.4246	30.8852
g__Bacillus.s__Bacillus_subtilis_group	MGB007	1.67367	2.490565	2.9203	17.05385
g__Bacillus.s__Bacillus_subtilis_group	MGB029	9.84282	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis_group	MGB033	23.1802	1.58937	6.50446	13.3247
g__Bacillus.s__Bacillus_subtilis_group	MGB034	19.7006	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis_group	MGB025	2.60103	1.42323	6.45579	16.3709
g__Bacillus.s__Bacillus_subtilis_group	MGB036	43.5162	9.34472	5.74137	39.619
g__Bacillus.s__Bacillus_subtilis_group	MGB047	4.36294	4.66484	11.9282	32.3871
g__Bacillus.s__Bacillus_subtilis_group	MGB031	1.76635	3.89689	2.49296	25.868
g__Bacillus.s__Bacillus_subtilis_group	MGB032	38.2376	1.483234	5.3241	21.8445
g__Bacillus.s__Bacillus_subtilis_group	MGB019	1.88709	1.72739	3.46384	18.9497
g__Bacillus.s__Bacillus_subtilis	MGB004	14.148399999999999	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis	MGB005	15.149	0.0	3.17533	18.311
g__Bacillus.s__Bacillus_subtilis	MGB027	23.5647	1.42975	2.47978	14.7506
g__Bacillus.s__Bacillus_subtilis	MGB038	1.19994	2.54698	3.57417	23.5391
g__Bacillus.s__Bacillus_subtilis	MGB007	1.7765900000000001	2.0542125	3.330945	18.4535
g__Bacillus.s__Bacillus_subtilis	MGB029	10.9884	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis	MGB033	22.0892	0.0	3.65715	18.0689
g__Bacillus.s__Bacillus_subtilis	MGB034	17.9528	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis	MGB025	3.6658	1.67813	2.21943	20.7337
g__Bacillus.s__Bacillus_subtilis	MGB036	44.0716	0.0	3.56962	16.4533
g__Bacillus.s__Bacillus_subtilis	MGB047	3.98059	5.10632	3.86376	33.4928
g__Bacillus.s__Bacillus_subtilis	MGB031	0.883325	2.1338	0.825864	18.9428
g__Bacillus.s__Bacillus_subtilis	MGB032	35.12895	2.5370749999999997	5.00106	18.3583
g__Bacillus.s__Bacillus_subtilis	MGB019	2.09183	4.03516	2.24506	21.9985
unclassified	MGB026	1.27096	0.0	0.0	0.0
unclassified	MGB037	6.534235	2.41548	0.0	16.825305
unclassified	MGB005	11.0033	0.0	0.0	2.33658
unclassified	MGB016	4.71882	0.0	0.0	4.00886
unclassified	MGB027	8.41258	0.0	1.27136	2.39553
unclassified	MGB038	0.0	5.90536	6.21916	10.6681
unclassified	MGB006	4.86677	0.0	0.0	8.10882
unclassified	MGB007	4.466255	0.779995	2.927445	2.7785
unclassified	MGB029	20.6507	86.7814	11.7463	27.7645
unclassified	MGB022	32.6891	9.96864	13.2143	36.1352
unclassified	MGB033	1.8014	0.0	0.0	2.61289
unclassified	MGB023	1.53251	0.0	0.0	1.25946
unclassified	MGB024	7.792955	0.0	0.0	18.423280000000002
unclassified	MGB036	33.6064	93.0876	17.1785	40.5532
unclassified	MGB047	6.27804	0.0	0.0	0.0
unclassified	MGB031	0.783254	0.0	0.0	0.0
unclassified	MGB010	1.53251	0.0	0.0	1.25946
unclassified	MGB032	2.7247950000000003	0.4498885	0.0	0.940435
unclassified	MGB043	0.0	6.07455	0.0	0.0
unclassified	MGB019	4.18287	0.0	0.0	3.63172
g__Morganella.s__Morganella_morganii	MGB036	0.460952	0.0	0.0	0.0
g__Proteus.s__Proteus_mirabilis	MGB007	3.37553	0.0	0.0	0.0
g__Proteus.s__Proteus_mirabilis	MGB036	0.125592	0.0	0.0	0.0
g__Corynebacterium.s__Corynebacterium_stationis	MGB016	0.0	0.0	7.369	0.0
g__Corynebacterium.s__Corynebacterium_stationis	MGB038	0.0	0.0	5.22787	0.0
g__Corynebacterium.s__Corynebacterium_stationis	MGB007	0.0	0.0	2.129275	0.0
g__Corynebacterium.s__Corynebacterium_stationis	MGB029	0.0	0.0	7.08931	0.0
g__Corynebacterium.s__Corynebacterium_stationis	MGB036	0.0	0.0	5.96411	0.0
g__Corynebacterium.s__Corynebacterium_stationis	MGB032	0.0	0.0	3.751135	0.0
g__Bacillus.s__Bacillus_licheniformis	MGB038	1.55204	0.0	0.0	1.09721
g__Bacillus.s__Bacillus_licheniformis	MGB032	0.942415	0.0	0.0	1.67099
g__Staphylococcus.s__Staphylococcus_xylosus	MGB038	0.0	1.3186	2.26781	0.0
g__Staphylococcus.s__Staphylococcus_xylosus	MGB036	0.0	2.33262	12.6488	0.0
g__Staphylococcus.s__Staphylococcus_xylosus	MGB025	0.0	0.0	0.950751	0.0
g__Staphylococcus.s__Staphylococcus_xylosus	MGB031	0.0	0.0	0.28609	0.0
g__Staphylococcus.s__Staphylococcus_equorum	MGB036	0.0	0.0	0.0	2.24991
g__Enterococcus.s__Enterococcus_faecalis	MGB007	0.12138	0.952815	2.178535	0.0
g__Enterococcus.s__Enterococcus_faecalis	MGB029	0.660654	1.63571	12.8548	0.0
g__Enterococcus.s__Enterococcus_faecalis	MGB022	1.14726	6.28306	2.52367	0.0
g__Enterococcus.s__Enterococcus_faecalis	MGB036	0.241259	0.431216	4.03731	0.0
g__Enterococcus.s__Enterococcus_faecium	MGB007	2.108675	5.0243	0.67959	1.04629
g__Enterococcus.s__Enterococcus_faecium	MGB029	6.32085	0.0	0.0	0.0
g__Enterococcus.s__Enterococcus_faecium	MGB022	1.15878	3.237	2.0381	0.0
g__Enterococcus.s__Enterococcus_faecium	MGB036	11.0108	2.5873	4.37946	0.0
g__Carnobacterium.s__Carnobacterium_inhibens	MGB036	0.479683	0.0	0.0	0.0
g__Carnobacterium.s__Carnobacterium_inhibens	MGB031	0.553035	0.0	0.0	0.0
g__Bacillus.s__Bacillus_velezensis	MGB038	0.423075	0.0	3.50886	0.772957
g__Bacillus.s__Bacillus_velezensis	MGB033	0.0	0.0	3.37208	0.0
g__Bacillus.s__Bacillus_velezensis	MGB025	0.195331	0.0	3.71992	0.0
g__Bacillus.s__Bacillus_velezensis	MGB036	0.237139	1.48497	2.43924	0.158717
g__Bacillus.s__Bacillus_velezensis	MGB047	0.278044	1.24225	7.40123	0.0
g__Bacillus.s__Bacillus_velezensis	MGB032	0.098603	0.0	1.54618	0.0
g__Lysinibacillus.s__Lysinibacillus_fusiformis	MGB027	0.250228	0.0	0.0	0.0
g__Lysinibacillus.s__Lysinibacillus_fusiformis	MGB006	0.358804	0.0	0.0	0.0
g__Lysinibacillus.s__Lysinibacillus_fusiformis	MGB036	0.0579909	0.0	0.0	0.0
g__Lysinibacillus.s__Lysinibacillus_fusiformis	MGB032	0.3925825	0.0	0.0	0.0
g__Brochothrix.s__Brochothrix_thermosphacta	MGB029	2.54047	0.0	0.0	0.0
g__Enterococcus.s__Enterococcus_durans	MGB029	0.101552	0.0	0.0	0.0
g__Enterococcus.s__Enterococcus_durans	MGB036	0.118724	0.0	0.0	0.0
g__Bacillus.s__Bacillus_haynesii	MGB038	0.0	0.0	0.0	0.950463
g__Bacillus.s__Bacillus_haynesii	MGB036	4.74267	1.27156	2.31448	9.58586
g__Bacillus.s__Bacillus_haynesii	MGB032	0.130044	0.0	0.544695	0.427733
g__Enterococcus.s__Enterococcus_mundtii	MGB029	0.0	0.181528	0.0	0.0
g__Enterococcus.s__Enterococcus_casseliflavus	MGB007	0.410922	1.12221	0.675685	0.0656655
g__Enterococcus.s__Enterococcus_casseliflavus	MGB022	2.06146	5.40612	3.23929	2.15484
g__Enterococcus.s__Enterococcus_hirae	MGB029	0.152137	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB004	8.611989999999999	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB005	33.678	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB027	26.4818	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB038	5.57373	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB007	0.98849	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB029	20.8808	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB022	6.77019	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB033	33.4102	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB034	16.9251	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB025	0.255025	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB036	54.4521	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB047	0.350102	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB031	12.2088	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB032	40.1365	0.0	0.0	0.0
g__Bacillus.s__Bacillus_cereus_group	MGB019	1.39874	0.0	0.0	0.0
g__Proteus.s__Proteus_vulgaris	MGB007	2.773145	0.0	0.0	0.0
g__Proteus.s__Proteus_vulgaris	MGB036	10.2191	0.0	0.0	0.0
g__Staphylococcus.s__Staphylococcus_nepalensis	MGB025	0.0	0.0	1.328	0.0
g__Staphylococcus.s__Staphylococcus_nepalensis	MGB031	0.0	0.0	1.14436	0.0
g__Staphylococcus.s__Staphylococcus_gallinarum	MGB036	0.0	7.24387	40.6261	14.9542
g__Bacillus.s__Bacillus_clausii	MGB004	145.52949999999998	0.0	0.0	0.0
g__Bacillus.s__Bacillus_clausii	MGB038	153.699	0.0	0.0	0.0
g__Bacillus.s__Bacillus_clausii	MGB007	37.40515	0.0	0.0	0.0
g__Bacillus.s__Bacillus_clausii	MGB033	99.3756	0.0	0.0	0.0
g__Bacillus.s__Bacillus_clausii	MGB036	114.939	0.0	0.0	0.0
g__Bacillus.s__Bacillus_clausii	MGB047	110.417	0.0	0.0	0.0
g__Bacillus.s__Bacillus_clausii	MGB032	94.36070000000001	0.0	0.0	0.0
g__Bacillus.s__Bacillus_clausii	MGB019	114.272	0.0	0.0	0.0
g__Enterococcus.s__Enterococcus_gallinarum	MGB007	0.0480743	1.03664	1.26689	0.064793
g__Enterococcus.s__Enterococcus_gallinarum	MGB022	1.04941	3.75761	1.28162	0.817627
g__Enterococcus.s__Enterococcus_gallinarum	MGB036	0.0	0.0	5.45425	0.0
g__Lysinibacillus.s__Lysinibacillus_boronitolerans	MGB027	1.46809	0.0	0.0	0.0
g__Lysinibacillus.s__Lysinibacillus_boronitolerans	MGB006	0.559359	0.0	0.0	0.0
g__Lysinibacillus.s__Lysinibacillus_boronitolerans	MGB036	0.895995	0.0	0.0	0.0
g__Lysinibacillus.s__Lysinibacillus_boronitolerans	MGB047	0.873931	0.0	0.0	0.0
g__Lysinibacillus.s__Lysinibacillus_boronitolerans	MGB032	0.3591385	0.0	0.0	0.0
g__Staphylococcus.s__Staphylococcus_saprophyticus	MGB036	0.0	0.426279	0.0	0.0
g__Staphylococcus.s__Staphylococcus_saprophyticus	MGB025	0.0	0.0	0.759585	0.0
g__Staphylococcus.s__Staphylococcus_saprophyticus	MGB031	0.0	0.0	0.858269	0.0
