Module	K6_S103interleaved_Abundance-RPKs	K4_S101interleaved_Abundance-RPKs	K2_S99interleaved_Abundance-RPKs	K3_S100interleaved_Abundance-RPKs	K5_S102interleaved_Abundance-RPKs	K1_S98interleaved_Abundance-RPKs
MGB026	0.0	0.0	14.455	0.0	0.0	0.0
MGB037	0.0	0.0	16.778084999999997	0.0	0.0	0.0
MGB027	566.863	236.622	149.485	302.918	353.527	174.626
MGB005	0.0	0.0	25.3138	53.2073	0.0	12.0411
MGB016	0.0	0.0	5.75487	24.30375	0.0	0.0
MGB049	0.0	0.0	1.29806	0.0	0.0	0.0
MGB038	0.0	0.0	0.0	18.6282	0.0	0.0
MGB006	0.0	1.79895	22.1137	24.7784	0.0	12.0625
MGB029	581.796	656.632	394.753	373.271	583.201	334.979
MGB007	0.0	0.0	7.29669	20.856205	0.0	1.788155
MGB033	0.0	4.41116	237.474	49.4414	0.0	0.0
MGB055	0.0	0.0	3.27069	0.0	0.0	0.0
MGB023	0.0	0.0	17.8989	2.46626	0.0	19.1737
MGB045	0.0	0.0	0.0	3.053985	0.0	0.0
MGB024	0.0	0.0	14.5829	13.942279999999998	0.0	13.35558
MGB035	0.0	0.0	25.0057	47.2064	0.0	31.9262
MGB036	642.312	709.544	472.694	572.82	650.246	435.123
MGB047	0.0	0.0	28.4989	6.0435	0.0	9.34279
MGB031	0.0	0.0	0.0	33.565	0.0	0.0
MGB010	0.0	0.0	17.8989	0.0	0.0	19.1737
MGB032	0.0	0.0	12.245004999999999	2.73694	0.0	1.04526
MGB019	0.0	0.0	8.74906	0.0	0.0	13.4484
