ID,Fermented food category,Substrate,State,Type of fermentation,Investigator,,Sequencing platform
FS0A,Wagashi rind,Dairy,Solid,Starter,JL,Dairy,
FS0B,Wagashi core,Dairy,Solid,Starter,JL,Dairy,
FS01,Bread kvass,Sugar,Liquid,Starter,JL,,
FS02,Carrot kimchi,Brine,Solid,Spontaneous,JL,,
FS03,Boza,Sugar,Liquid,Starter,JL,,
FS05,Turnip,Brine,Solid,Spontaneous,JL,,
FS06,Orange,Sugar,Solid,Spontaneous,JL,,
FS07,Sauerkraut,Brine,Solid,Spontaneous,JL,,
FS08,Tepache,Sugar,Liquid,Spontaneous,JL,,
FS09,Ginger beer,Sugar,Liquid,Spontaneous,JL,,
FS10,Tempeh,Soy,Solid,Starter,JL,,
FS11,Cucumber,Brine,Solid,Spontaneous,JL,,
FS12,Dairy kefir,Dairy,Liquid,Starter,JL,,
FS13,Water kefir,Sugar,Liquid,Starter,JL,,
FS16,Tofu chili,Soy,Solid,Spontaneous,JL,,
FS17,Daikon,Brine,Solid,Spontaneous,JL,,
FS19,Pickled vegetables,Brine,Solid,Spontaneous,JL,,
FS22,Sauerkraut,Brine,Solid,Spontaneous,JL,,
FS23,Brown rice amazake,Brine,Solid,Spontaneous,JL,,
FS24,Beetroot kvass,Brine,Liquid,Starter,JL,,
FS25,Dairy kefir,Dairy,Liquid,Starter,JL,Dairy kefir and fennel soup,
FS26,Mead,Sugar,Liquid,Spontaneous,JL,,
FS27,Sauerkraut,Brine,Solid,Spontaneous,JL,,
FS28,Sauerkraut,Brine,Solid,Spontaneous,JL,dill dearg,
FS29,Kimchi,Brine,Solid,Spontaneous,JL,,
FS30,Sauerkraut,Brine,Solid,Spontaneous,JL,glden child sauerkraut,
FS31,Water kefir,Sugar,Liquid,Starter,JL,,
FS32,Water kefir,Sugar,Liquid,Starter,JL,,
FS33,Water kefir,Sugar,Liquid,Starter,JL,,
FS34,Kombucha,Sugar,Liquid,Starter,JL,kombucha vinegar,
FS35,Ryazhenka,Dairy,Liquid,Starter,JL,,
FS36,Agousha,Dairy,Liquid,Starter,JL,,
FS37,RostagroŠkport voroznyj,Dairy,Solid,Starter,JL,,
FS38,Ruza,Dairy,Solid,Starter,JL,,
FS39,Sauerkraut,Brine,Solid,Spontaneous,JL,,
FS40,Kombucha,Sugar,Liquid,Starter,JL,,
FS41,Apple cider vinegar,Sugar,Liquid,Starter,JL,,
FS42,Raw Dairy kefir,Dairy,Liquid,Starter,JL,,
FS43,Pasteurized Dairy kefir,Dairy,Liquid,Starter,JL,,
FS44,Water kefir,Sugar,Liquid,Starter,JL,"Water kefir (pear, ginger, and honey)",
FS45,Water kefir,Sugar,Liquid,Starter,JL,"Water kefir (pear, ginger, and sugar)",
FS46,Dilly carrots,Brine,Solid,Spontaneous,JL,,
FS47,Brussels sprout kimchi,Brine,Solid,Spontaneous,JL,,
FS48,Kimchi,Brine,Solid,Spontaneous,JL,,
FS49,Garlic kraut,Brine,Solid,Spontaneous,JL,,
FS50,Dukkahÿkraut,Brine,Solid,Spontaneous,JL,,
FS51,Ginger sliced in 2%ÿbrine,Brine,Solid,Spontaneous,JL,,
FS52,Daikon radishÿin 2%ÿbrine,Brine,Solid,Spontaneous,JL,,
FS53,Okraÿin 2%ÿbrine,Brine,Solid,Spontaneous,JL,,
FS54,Tomatoes and mustard Seedsÿin 2%ÿbrine,Brine,Solid,Spontaneous,JL,,
FS55,Kombucha,Sugar,Liquid,Starter,JL,,
FS56,Water kefir,Sugar,Liquid,Starter,JL,Cherry water kefir,
FS57,Beet kvass,Brine,Liquid,Starter,JL,,
FS58,Coconut kefir,Coconut Dairy,Liquid,Starter,JL,,
FS59,Carrot sticks,Brine,Solid,Spontaneous,JL,,
FS60,Labne,Dairy,Solid,Starter,JL,,
FS61,Lemon and ginger fizz,Sugar,Liquid,Starter,JL,,
FS62,Scallion kimchi,Brine,Solid,Spontaneous,JL,,
AF01,Ogi-Cereal,Cereal,Semi-solid,Spontaneous,JL,,
AF02,Ogi baba - Cereal,Cereal,Semi-solid,Spontaneous,JL,,
AF03,Gari,Root and tuber,Solid,Spontaneous,JL,,
AF04,Fufu,Root and tuber,Solid,Spontaneous,JL,,
AF05,Kunun,Cereal,Liquid,Spontaneous,JL,,
AF06,Iru,Seed,Solid,Spontaneous,JL,,
AF07,Palm wine,Palm Tree,Liquid,Spontaneous,JL,,
AF08,Ogi/Koko Cereal,Cereal,Semi-solid,Spontaneous,JL,,
AF09,Ogiri,Seed,Solid,Spontaneous,JL,Melon Seeds,
AF10,Iru ,Seed,Solid,Spontaneous,JL,,
AF11,Ugba,Seed,Solid,Spontaneous,JL,,
AF12,Ogi,Cereal,Semi-solid,Spontaneous,JL,,
AF14,Wara,Dairy,Solid,Spontaneous,JL,,
AF15,Ogiri,Seed,Solid,Spontaneous,JL,Melon Seed,
AF16,Lafun,Root and tuber,Solid,Spontaneous,JL,,
AF17,Pito,Cereal,Liquid,Backslopped,JL,,
AF18,Otika,Cereal,Liquid,Spontaneous,JL,,
AF19,Palm wine,Palm Tree,Liquid,Spontaneous,JL,,
AF20,Kunnun-zaki,Cereal,Liquid,Spontaneous,JL,,
AF21,Palm wine,Palm Tree,Liquid,Spontaneous,JL,,
AF22,Nono,Dairy,Liquid,Spontaneous,JL,,
AF23,Palm wine,Palm Tree,Liquid,Spontaneous,JL,,
AF24,Dawa Dawa,Seed,Solid,Spontaneous,JL,,
AF25,Kantong,Seed,Solid,Spontaneous,JL,Ceiba pentandra ,
AF26,Red Cereal Zankom,Cereal,Liquid,Spontaneous,JL,,
AF27,Wagashi,Dairy,Solid,Spontaneous,JL,,
AF28,Dagati Pito,Cereal,Liquid,Backslopped,JL,,
AF29,White Cereal Zonkom,Cereal,Liquid,Spontaneous,JL,,
AF30,Brukina,Cereal,Liquid,Spontaneous,JL,,
AF31,Burukutu,Cereal,Solid,Spontaneous,JL,,
AF32,Frafra Pito,Cereal,Liquid,Backslopped,JL,,
AF33,Kunun-zaki,Cereal,Liquid,Spontaneous,JL,,
AF34,Nono,Dairy,Liquid,Spontaneous,JL,,
AF35,Ogi,Cereal,Semi-solid,Spontaneous,JL,,
AF36,Maasa,Cereal,Semi-solid,Spontaneous,JL,,
AF37,Ogi White,Cereal,Semi-solid,Spontaneous,JL,,
AF38,Agadagidi,Root and tuber,Liquid,Spontaneous,JL,,
AF39,Emu,Palm Tree,Liquid,Spontaneous,JL,,
AF40,Burukutu,Cereal,Liquid,Spontaneous,JL,,
AF41,Otika,Cereal,Liquid,Spontaneous,JL,,
AF42,Wara,Dairy,Solid,Spontaneous,JL,,
AF43,Ugba,Seed,Solid,Spontaneous,JL,,
AF44,Gari,Root and tuber,Solid,Spontaneous,JL,,
AF45,Ogiri,Seed,Solid,Spontaneous,JL,Melon Seed,
AF46,Ogi ,Cereal,Semi-solid,Spontaneous,JL,,
AF47,Okpheye,Seed,Solid,Spontaneous,JL,,
AF48,Iru Pete,Seed,Solid,Spontaneous,JL,,
AF49,Fura,Cereal,Solid,Spontaneous,JL,,
AF50,Ogi,Cereal,Semi-solid,Spontaneous,JL,,
AF51,Fufu,Root and tuber,Solid,Spontaneous,JL,,
AF52,Iru Woro,Seed,Solid,Spontaneous,JL,,
AF53,Lafun,Root and tuber,Solid,Spontaneous,JL,,
AF54,Gari,Root and tuber,Solid,Spontaneous,JL,,
AF55,Palm wine,Palm Tree,Liquid,Spontaneous,JL,,
AF56,Iru,Seed,Solid,Spontaneous,JL,,
AF57,Ogiri,Seed,Semi-solid,Spontaneous,JL,,
AF58,Okpehe,Seed,Solid,Spontaneous,JL,Prosopis africana,
AF58_b,Okpehe,Seed,Solid,Backslopped,,,
AF59,Ugba,Seed,Solid,Spontaneous,JL,,
AF60,Ogi Cereal,Cereal,Solid,Spontaneous,JL,,
AF61,Ogi baba  ,Cereal,Solid,Spontaneous,JL,,
AF62,koko,Cereal,Solid,Spontaneous,JL,,
AF63,Otiru,Root and tuber,Solid,Spontaneous,JL,,
AF64,Nunu,Dairy,Liquid,Backslopped,JL,,
AF65,Wara,Dairy,Solid,Spontaneous,JL,,
AF66,Obiolor,Cereal,Liquid,Backslopped,JL,,
AF67,Burunkutu,Cereal,Liquid,Backslopped,JL,,
AF68,Sekete,Cereal,Liquid,Backslopped,JL,,
AF69,Gari,Root and tuber,Solid,Spontaneous,JL,,
AF70,Lafun,Root and tuber,Solid,Spontaneous,JL,,
AF71,Fufu,Root and tuber,Solid,Spontaneous,JL,,
AF72,Agadagidi,Root and tuber,Liquid,Spontaneous,JL,,
AF73,Ugi-finger Cereal,Cereal,Semi-solid,Spontaneous,JL,,
AF74,Ugi _Cereal and pearl Cereal,Cereal,Semi-solid,Spontaneous,JL,,
AF75,Ugi- finger Cereal and Cereal,Cereal,Semi-solid,Spontaneous,JL,,
AF76,Ugi - finger Cereal and pearl Cereal ,Cereal,Semi-solid,Spontaneous,JL,,
AF77,Dolo,Cereal,Liquid,Backslopped,JL,,
AF78,Massa,Cereal,Liquid,Spontaneous,JL,,
AF79,Foura,Cereal,Solid,Spontaneous,JL,,
AF80,Soumbala,Seed,Solid,Spontaneous,JL,,
AF81,Mou,Root and tuber,Solid,Spontaneous,JL,,
AF82,Attieke,Root and tuber,Solid,Backslopped,JL,,
AF83,Iru,Seed,Solid,Spontaneous,JL,,
AF84,Garri,Root and tuber,Solid,Spontaneous,JL,,
