Module	PFG_k_B_4_CoM_S11_interleaved_Abundance-RPKs	PFG_k_L_p4_CoM_S16_interleaved_Abundance-RPKs	PFG_k_L_24_CoM_S14_interleaved_Abundance-RPKs	PFG_k_B_24_CoM_S13_interleaved_Abundance-RPKs	PFG_k_L_p4_SM_S30_interleaved_Abundance-RPKs	PFG_k_B_24_SM_S27_interleaved_Abundance-RPKs	PFG_k_L_24_SM_S28_interleaved_Abundance-RPKs	PFG_k_L_4_SM_S26_interleaved_Abundance-RPKs	PFG_k_L_4_CoM_S12_interleaved_Abundance-RPKs	PFG_k_B_p4_CoM_S15_interleaved_Abundance-RPKs	PFG_k_B_4_SM_S25_interleaved_Abundance-RPKs	PFG_k_B_p4_SM_S29_interleaved_Abundance-RPKs
MGB005	48.408049999999996	182.45455	118.78774999999999	395.49649999999997	325.39250000000004	410.509	265.0765	103.96350000000001	14.245999999999999	379.165	326.66200000000003	345.664
MGB006	0.0	0.0	4.10849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB029	104.379	201.851	119.592	400.958	283.395	329.906	232.245	118.727	43.5839	392.582	311.989	293.967
MGB007	0.0	0.0	0.0	4.347155	56.57295	12.663	49.20225	35.4818	0.0	0.0	0.0	22.172345
MGB022	269.979	224.361	126.473	822.634	195.831	240.601	169.097	105.052	11.0002	501.802	186.782	140.138
MGB033	769.03	494.718	645.202	518.354	245.77	0.0	373.214	581.123	767.378	443.012	424.856	294.51
MGB035	0.0	19.0533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGB036	728.357	601.716	696.524	625.8	727.676	733.347	759.45	798.53	780.054	644.645	710.108	664.812
MGB047	0.0	0.0	3.83093	2.53668	11.4522	8.94996	0.0	0.0	0.0	0.0	0.0	14.2216
MGB031	13.1856	0.0	0.0	131.32	184.796	225.073	164.029	57.5004	0.0	5.41016	203.475	199.768
MGB043	0.0	243.488	157.125	0.0	0.0	0.0	0.0	0.0	20.3211	0.0	0.0	0.0
MGB019	0.0	35.3928	94.0162	0.0	0.0	0.0	0.0	0.0	6.92392	0.0	0.0	0.0
