Module	FS06_2016_S5_interleaved_Abundance-RPKs	FS25_2017_S56_interleaved_Abundance-RPKs	FS09_2016_S8_interleaved_Abundance-RPKs	FS34_2017_S27_interleaved_Abundance-RPKs	FS44_2017_S37_interleaved_Abundance-RPKs	FS54_2017_S47_interleaved_Abundance-RPKs	FS12_2016_S11_interleaved_Abundance-RPKs	FS62_2017_S55_interleaved_Abundance-RPKs	FS23_2017_S17_interleaved_Abundance-RPKs	FS39_2017_S32_interleaved_Abundance-RPKs	FS45_2017_S38_interleaved_Abundance-RPKs	FS07_2016_S6_interleaved_Abundance-RPKs	FS30_2017_S23_interleaved_Abundance-RPKs	FS13_2016_S12_interleaved_Abundance-RPKs	FS52_2017_S44_interleaved_Abundance-RPKs	FS50_2017_S43_interleaved_Abundance-RPKs	FS10_2016_S9_interleaved_Abundance-RPKs	FS17_2017_S14_interleaved_Abundance-RPKs	FS19_2017_S15_interleaved_Abundance-RPKs	FS33_2017_S26_interleaved_Abundance-RPKs	FS27_2017_S20_interleaved_Abundance-RPKs	FS53_2017_S46_interleaved_Abundance-RPKs	FS59_2017_S52_interleaved_Abundance-RPKs	FS51_2017_S45_interleaved_Abundance-RPKs	FS36_2017_S29_interleaved_Abundance-RPKs	FS46_2017_S39_interleaved_Abundance-RPKs	FS31_2017_S24_interleaved_Abundance-RPKs	FS41_2017_S34_interleaved_Abundance-RPKs	FS0A_2017_S57_interleaved_Abundance-RPKs	FS56_2017_S49_interleaved_Abundance-RPKs	FS22_2017_S16_interleaved_Abundance-RPKs	FS61_2017_S54_interleaved_Abundance-RPKs	FS47_2017_S40_interleaved_Abundance-RPKs	FS57_2017_S50_interleaved_Abundance-RPKs	FS05_2016_S4_interleaved_Abundance-RPKs	FS48_2017_S41_interleaved_Abundance-RPKs	FS58_2017_S51_interleaved_Abundance-RPKs	FS28_2017_S21_interleaved_Abundance-RPKs	FS01_2016_S1_interleaved_Abundance-RPKs	FS08_2016_S7_interleaved_Abundance-RPKs	FS32_2017_S25_interleaved_Abundance-RPKs	FS38_2017_S31_interleaved_Abundance-RPKs	FS42_2017_S35_interleaved_Abundance-RPKs	FS29_2017_S22_interleaved_Abundance-RPKs	FS35_2017_S28_interleaved_Abundance-RPKs	FS55_2017_S48_interleaved_Abundance-RPKs	FS02_2016_S2_interleaved_Abundance-RPKs	FS16_2017_S13_interleaved_Abundance-RPKs	FS40_2017_S33_interleaved_Abundance-RPKs	FS60_2017_S53_interleaved_Abundance-RPKs	FS37_2017_S30_interleaved_Abundance-RPKs	FS43_2017_S36_interleaved_Abundance-RPKs	FS0B_2017_S58_interleaved_Abundance-RPKs	FS24_2017_S18_interleaved_Abundance-RPKs	FS26_2017_S19_interleaved_Abundance-RPKs	FS49_2017_S42_interleaved_Abundance-RPKs	FS11_2016_S10_interleaved_Abundance-RPKs
MF0063	0.0	0.0	44.825	0.0	0.0	17.4873	0.0	0.0	0.0	0.0	0.0	0.0	35.6736	125.137	37.4526	13.8407	292.149	36.617	130.083	100.136	0.0	16.0542	30.7601	252.354	0.0	0.0	98.0936	0.0	183.117	16.2091	0.0	18.4105	0.0	55.29	0.0	0.0	60.3568	42.5326	16.3892	0.0	79.6859	0.0	0.0	0.0	0.0	0.0	0.0	44.5437	4.57807	0.0	0.0	0.0	63.4031	15.6529	0.0	0.0	39.8252
MF0020	0.0	293.429	62.1806	646.0815	62.340500000000006	45.412349999999996	0.0	21.21305	525.8580000000001	108.52144999999999	51.63210000000001	77.83335	223.01300000000003	58.35415	194.10085	154.61915000000002	291.24784999999997	121.6825	141.3721	172.81799999999998	382.64225	220.1198	116.1997	276.557	317.68399999999997	0.0	19.47815	214.97060000000002	185.7075	39.42885	190.59724999999997	49.631	101.60922000000001	168.64405	359.0025	73.76339999999999	345.304	308.47450000000003	51.80665	0.0	17.3339	163.726	298.7765	124.76225	20.598599999999998	35.75385	173.277	75.37695	156.5565	0.0	84.59915	266.244	75.4951	289.6065	5.982715000000001	53.169045000000004	190.117
MF0064	0.0	0.0	1.65858	0.0	1.5645850000000001	0.0	0.0	0.0	0.0	0.0	7.36164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.82259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6224300000000005	0.0	0.0	0.0	0.0
MF0061	0.0	434.826	81.5782	0.0	22.6219	14.8146	0.0	7.04643	222.234	244.904	30.314	115.939	188.771	98.60078666666668	263.575	205.49	39.10753333333333	68.1744	186.029	154.487	379.699	212.843	107.755	162.34686666666667	421.429	0.0	82.1573	118.99433333333333	94.60713333333335	58.258	0.0	22.3762	0.0	188.891	332.201	108.175	119.361	140.471	20.6252	0.0	48.2033	407.219	0.0	105.515	0.0	0.0	0.0	193.808	18.5168	0.0	29.854	0.0	283.048	64.0258	0.0	0.0	215.138
MF0062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.803458333333335	0.0	102.300515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.690033333333333	0.0	0.0	0.0	0.0	3.729001666666667	0.0	0.0	0.0	0.0	39.03786266666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MF0060	0.0	24.172	22.922	0.0	0.0	12.4073	56.8279	0.0	0.0	0.0	0.0	0.0	34.9026	0.0	27.8064	5.9624	7.46537	38.0409	73.6831	69.8256	0.0	9.15531	30.477	60.8083	0.0	0.0	84.3697	0.0	0.0	0.0	15.3673	0.0	0.0	29.1659	0.0	0.0	203.867	51.8339	0.0	0.0	0.0	0.0	0.0	51.6222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.48657	49.0203	0.0	0.0	35.7842
MF0028	0.0	0.0	79.2174	50.9381	76.6496	11.8539	0.0	4.14768	110.943	10.5877	70.0107	0.0	7.34735	266.565	28.3424	11.689	289.542	38.2736	20.8276	8.51668	0.0	8.80846	4.49727	220.33	10.426	0.0	72.5643	414.503	88.2575	213.144	21.0195	382.505	0.0	44.3315	9.96303	0.0	1.99372	41.3972	115.364	3.49719	37.8967	2.39279	0.0	7.25578	5.18287	68.4832	0.0	0.0	44.5691	0.0	11.6341	0.0	99.0887	15.3547	2.83565	1.97155	70.6792
MF0025	0.0	0.0	13.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03157	3.04272	0.0	0.0	0.0	0.0	0.0	5.51598	0.0	43.0584	0.0	0.0	0.0	0.0	89.3894	0.0	0.0	0.0	0.0	2.6895	0.0	0.0	0.0	0.0	1.69027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9948	0.0	0.0	0.0	0.0
MF0069	0.0	0.0	0.0	0.0	27.0922	0.0	0.0	0.0	0.0	0.0	23.7671	0.0	1.86306	0.0	0.0	0.0	12.9203	0.0	0.0	1.16713	0.0	0.0	0.0	16.7899	0.0	0.0	0.0	0.0	57.6427	0.0	0.0	6.9105	0.0	0.0	0.0	0.0	12.4444	2.62187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.2071	0.0	2.8826	0.0	0.0	0.0	0.0	22.8414	0.0	0.0	0.0	0.0
MF0026	0.0	0.0	72.26180500000001	118.21100000000001	45.37284	11.55247	0.0	0.0	163.89365	54.19685	50.50205	62.82055	91.6276	242.458645	180.756	116.4477	145.62054	39.31137	60.346000000000004	0.0	0.0	158.5555	0.0	111.89906500000001	0.0	27.30905	0.0	0.0	0.0	137.56686000000002	131.49849999999998	203.2312	118.50865	143.375	285.5865	62.6447	169.4606	89.3518	62.66117500000001	477.0115	0.0	0.0	0.0	43.01365	0.0	37.544865	61.965199999999996	38.550954999999995	23.608390000000004	0.0	0.0	0.0	336.12672	0.0	0.0	57.9143	61.03635
