Module	SRR8830669_host_removed__interleaved_Abundance-RPKs	SRR8830667_host_removed__interleaved_Abundance-RPKs	SRR8830668_host_removed__interleaved_Abundance-RPKs	SRR8830666_host_removed__interleaved_Abundance-RPKs
MF0063	91.7568	0.0	0.0	0.0
MF0020	313.105	50.186009999999996	29.08195	39.896150000000006
MF0061	270.369	40.3075	27.3743	40.9448
MF0060	165.054	0.0	0.0	0.0
MF0028	13.2449	20.4445	17.8862	86.7449
MF0069	10.5567	0.0	4.3715	8.78624
MF0067	416.614	50.7728	105.666	79.2847
MF0068	328.582	32.9933	59.258	66.5859
MF0021	147.048	3.8804549999999995	13.7973	27.16735
MF0022	135.584	0.0	18.9697	40.3174
MF0018	173.941	16.9544	52.1592	76.3163
MF0074	0.0	57.5486	8.90232	9.76292
MF0031	44.8762	28.6524	22.297	39.1077
MF0075	126.54	11.0134	23.1932	65.8798
MF0072	169.906	63.6699	76.8172	86.5976
MF0070	85.0313	7.26653	26.5203	39.1823
MF0071	148.04500000000002	37.9259	22.1373	36.47605
MF0039	6.11195	0.0	0.0	0.0
MF0036	100.74260000000001	0.0	0.0	0.0
MF0034	215.36	18.0529	40.4202	48.9934
MF0035	206.8095	21.5714	37.7073	50.15755
MF0079	45.6309	0.0	2.69665	2.57182
MF0076	119.412	14.976524999999999	13.30025	39.231750000000005
MF0033	113.25234999999999	9.538405000000001	20.72821	60.37805
MF0077	55.201	23.6738	50.9206	33.836666666666666
MF0029	100.354	1.24418	14.9064	2.62265
MF0085	33.77485	27.80845	48.833025	113.054025
MF0086	189.355	19.4989	43.51495	56.794850000000004
MF0040	208.33249999999998	20.271614999999997	44.33185	46.881375000000006
MF0049	0.0	41.4148	14.49881	35.597809999999996
MF0005	0.0	0.0	12.2673	0.0
MF0006	15.3554	43.3606	22.547	61.8026
MF0047	55.14787	13.460740000000001	16.108655	39.46254999999999
MF0048	280.155	18.2905	21.6269	68.0185
MF0001	392.63	8.1208	14.647	70.3696
MF0045	15.25355	0.0	13.541764999999998	43.957125000000005
MF0002	277.15	20.3332	37.07	41.041
MF0046	366.386	9.7303	29.3412	76.5471
MF0087	262.465	0.0	0.0	0.0
MF0044	17.8902	276.288	503.074	39.662
MF0096	103.6141075	0.0	34.525800000000004	72.8934
MF0050	95.2289	21.5738	47.120549999999994	70.8425
MF0051	352.16049999999996	5.143295	13.64185	44.7566
MF0092	512.49	95.3295	67.9218	78.4185
MF0090	0.0	57.5486	8.90232	23.9969
MF0017	6.27268	22.1934	10.4157	31.1095
MF0014	147.9485	19.07722	14.747395000000001	53.7733
MF0015	24.8507	15.4931	26.4635	45.9536
MF0012	107.857	9.56278	5.43935	28.1784
MF0056	232.554	165.54945	328.2525	34.6934
MF0010	149.43075	21.8484	36.6124	56.2624
MF0054	154.157965	0.0	43.0982	59.21425
MF0055	42.0708	24.4386	34.0743	14.6664
MF0009	276.688	9.80668	6.4884	35.115
MF0007	2.87969	7.69543	22.2208	0.0
MF0008	12.29412	27.093200000000003	15.16563	35.268
