Module	K6_S103interleaved_Abundance-RPKs	K4_S101interleaved_Abundance-RPKs	K2_S99interleaved_Abundance-RPKs	K3_S100interleaved_Abundance-RPKs	K5_S102interleaved_Abundance-RPKs	K1_S98interleaved_Abundance-RPKs
MF0063	0.0	0.0	30.7529	4.23845	0.0	0.0
MF0020	0.0	0.0	5.571949999999999	36.1368	0.0	0.0
MF0061	0.0	0.0	28.3478	35.098	0.0	7.31708
MF0027	0.0	0.0	8.44962	0.0	0.0	4.88117
MF0028	1.89884	0.0	8.08682	70.167	0.0	4.12879
MF0025	0.0	0.0	1.29806	0.0	0.0	0.0
MF0069	0.0	0.0	7.1222	0.0	0.0	0.0
MF0026	0.0	0.0	18.612155	0.0	0.0	10.62375
MF0067	0.0	0.0	28.3478	0.0	0.0	19.1522
MF0068	0.0	0.0	27.5683	47.5855	0.0	11.8225
MF0065	0.0	0.0	78.307905	0.0	0.0	34.0964
MF0021	0.0	0.0	0.0	145.04705	0.0	0.0
MF0066	0.0	0.0	127.0162	149.5914	0.0	0.0
MF0018	0.0	5.02071	228.546	67.7689	137.755	103.272
MF0074	0.0	0.0	0.0	2.09026	0.0	0.0
MF0075	0.0	0.0	28.4989	6.0435	0.0	9.34279
MF0072	0.0	0.0	100.96675666666665	108.33863333333333	0.0	92.11451
MF0070	0.0	0.0	26.2774	56.0428	0.0	7.44085
MF0071	0.0	0.0	209.098	268.97765	0.0	202.0627
MF0038	0.0	0.0	148.743	0.0	0.0	0.0
MF0039	0.0	0.0	1.73474	4.65311	0.0	0.0
MF0036	0.0	0.0	87.4801	103.40788333333333	0.0	0.0
MF0034	0.0	1.38913	8.66354	0.0	0.0	7.78442
MF0035	0.0	495.231	126.491	414.5	0.0	253.346
MF0079	0.0	0.0	10.6627	38.9402	0.0	0.0
MF0076	0.0	0.0	272.23453	0.0	0.0	365.4312
MF0033	0.0	255.985875	200.4667	263.16200000000003	0.0	171.1585
MF0077	0.0	0.0	5.5136666666666665	0.0	0.0	0.0
MF0041	0.0	0.0	16.6053	0.0	0.0	0.0
MF0085	0.0	0.0	14.094325	36.596075	0.0	11.5326
MF0086	241.771	316.0665	68.4035	199.9455	261.325	146.922
MF0040	0.0	0.0	5.0739	61.1265	0.0	4.135355
MF0005	0.0	0.0	38.0826	0.0	0.0	0.0
MF0049	0.0	0.0	0.0	176.38263	0.0	0.0
MF0006	0.0	0.0	0.0	2.00863	0.0	0.0
MF0047	0.0	0.0	7.29669	20.856205	0.0	1.788155
MF0048	0.0	0.0	3.51813	90.0577	0.0	0.0
MF0045	191.42492000000001	0.0	156.85441	192.6365	0.0	152.21839500000002
MF0001	0.0	5.45561	0.0	5.44093	0.0	0.0
MF0002	0.0	0.0	19.6432	0.896274	0.0	20.515
MF0046	0.0	0.0	9.95292	60.1008	0.0	0.0
MF0087	0.0	0.0	51.6652	57.0991	0.0	5.77597
MF0044	0.0	0.0	9.17537	40.4927	0.0	8.40835
MF0096	0.0	0.0	8.918445	23.133020000000002	0.0	0.0
MF0050	0.0	0.0	10.55235	28.8891	0.0	4.726105
MF0051	0.0	0.0	20.610500000000002	43.1375	0.0	20.291725
MF0095	0.0	0.0	3.27069	0.0	0.0	0.0
MF0092	581.1	626.94	356.081	457.833	561.487	365.802
MF0091	0.0	0.0	354.18834999999996	672.0632	0.0	662.5331
MF0015	0.0	0.0	10.6752	0.0	0.0	0.0
MF0012	0.0	0.0	11.6163	1.76261	0.0	6.38401
MF0056	0.0	0.0	0.0	63.698375	0.0	0.0
MF0010	0.0	0.0	98.0036	7.509437	0.0	41.7053
MF0054	0.0	0.0	64.94343	36.802275	0.0	34.431855
MF0098	0.0	0.0	0.4686125	0.0	0.0	0.0
MF0009	0.0	0.0	12.598	0.0	0.0	6.55746
