Taxon	Module	SRR11704907interleaved_Abundance-RPKs	SRR11704908interleaved_Abundance-RPKs	SRR11704909interleaved_Abundance-RPKs
g__Lactobacillus.s__Lactobacillus_panis	MF0092	0.0	2.1964	0.0
g__Brevibacterium.s__Brevibacterium_linens	MF0075	0.0	0.0	2.45243
g__Brevibacterium.s__Brevibacterium_linens	MF0092	0.0	0.0	0.343857
g__Brevibacterium.s__Brevibacterium_linens	MF0069	0.0	0.0	0.12277
g__Brevibacterium.s__Brevibacterium_linens	MF0046	0.0	0.0	1.02379
g__Brevibacterium.s__Brevibacterium_linens	MF0044	0.0	0.0	0.0770878
g__Brevibacterium.s__Brevibacterium_linens	MF0077	0.0	0.0	0.05951833333333333
g__Lactobacillus.s__Lactobacillus_plantarum	MF0074	1.31631	6.74553	0.205862
g__Lactobacillus.s__Lactobacillus_plantarum	MF0086	3.393515	25.3505	1.845905
g__Lactobacillus.s__Lactobacillus_plantarum	MF0050	2.130425	8.49535	1.39953
g__Lactobacillus.s__Lactobacillus_plantarum	MF0092	13.5056	50.3244	7.52874
g__Lactobacillus.s__Lactobacillus_plantarum	MF0090	4.26085	16.9907	2.79906
g__Lactobacillus.s__Lactobacillus_plantarum	MF0006	4.5435	36.2777	2.47302
g__Lactobacillus.s__Lactobacillus_plantarum	MF0017	3.51294	18.0004	0.856375
g__Lactobacillus.s__Lactobacillus_plantarum	MF0014	3.5056	17.62715	1.690855
g__Lactobacillus.s__Lactobacillus_plantarum	MF0015	4.76211	17.3402	2.5256
g__Lactobacillus.s__Lactobacillus_plantarum	MF0026	9.747744999999998	57.64605	6.229675
g__Lactobacillus.s__Lactobacillus_plantarum	MF0048	0.0	0.22353	0.0
g__Lactobacillus.s__Lactobacillus_plantarum	MF0044	0.0	0.246063	0.0
g__Lactobacillus.s__Lactobacillus_plantarum	MF0009	2.91534	19.6475	1.73303
g__Lactobacillus.s__Lactobacillus_plantarum	MF0018	0.0	0.68449	0.0
g__Lactobacillus.s__Lactobacillus_plantarum	MF0008	6.55423915	55.111567	3.86725954
g__Lactobacillus.s__Lactobacillus_plantarum	MF0019	0.975231	3.49675	0.793908
g__Lactobacillus.s__Lactobacillus_hammesii	MF0050	0.0	0.6413	0.50901
g__Pantoea.s__Pantoea_vagans	MF0085	0.0	0.0	0.0992515
g__Pantoea.s__Pantoea_vagans	MF0096	0.0	0.0	0.15793400000000002
g__Pantoea.s__Pantoea_vagans	MF0020	0.0	0.0	0.438439
g__Pantoea.s__Pantoea_vagans	MF0086	0.0	0.0	0.0392891
g__Pantoea.s__Pantoea_vagans	MF0050	0.0	0.0	0.217599
g__Pantoea.s__Pantoea_vagans	MF0040	0.0	0.0	0.175464
g__Pantoea.s__Pantoea_vagans	MF0051	0.0	0.0	0.21431125
g__Pantoea.s__Pantoea_vagans	MF0092	0.0	0.0	0.172335
g__Pantoea.s__Pantoea_vagans	MF0006	0.0	0.0	0.223212
g__Pantoea.s__Pantoea_vagans	MF0028	0.0	0.0	0.070408
g__Pantoea.s__Pantoea_vagans	MF0047	0.0	0.0	0.122019
g__Pantoea.s__Pantoea_vagans	MF0058	0.0	0.0	0.18116
g__Pantoea.s__Pantoea_vagans	MF0012	0.0	0.0	0.444105
g__Pantoea.s__Pantoea_vagans	MF0078	0.0	0.0	0.195579
g__Pantoea.s__Pantoea_vagans	MF0076	0.0	0.0	0.27611399999999997
g__Pantoea.s__Pantoea_vagans	MF0044	0.0	0.0	0.286779
g__Pantoea.s__Pantoea_vagans	MF0029	0.0	0.0	0.256837
g__Bacillus.s__Bacillus_licheniformis	MF0050	0.0	0.0	4.735575
g__Bacillus.s__Bacillus_licheniformis	MF0051	0.0	0.0	3.5899799999999997
g__Bacillus.s__Bacillus_licheniformis	MF0092	0.0	0.0	5.04068
g__Bacillus.s__Bacillus_licheniformis	MF0006	0.0	0.0	4.69937
g__Bacillus.s__Bacillus_licheniformis	MF0028	0.0	0.0	4.12302
g__Bacillus.s__Bacillus_licheniformis	MF0014	0.0	0.0	5.9756350000000005
g__Bacillus.s__Bacillus_licheniformis	MF0021	0.0	0.0	4.35657
g__Bacillus.s__Bacillus_licheniformis	MF0054	0.0	0.0	3.6846674999999998
g__Bacillus.s__Bacillus_licheniformis	MF0055	0.0	0.0	5.47614
g__Streptomyces.s__Streptomyces_albus	MF0075	0.0	0.0	0.907667
g__Streptomyces.s__Streptomyces_albus	MF0050	0.0	0.0	0.216498
g__Streptomyces.s__Streptomyces_albus	MF0047	0.0	0.0	0.2572065
g__Caulobacter.s__Caulobacter_vibrioides	MF0075	0.0	0.0	0.544835
g__Acetobacter.s__Acetobacter_malorum	MF0091	0.0	0.0	0.11678390000000001
g__Acetobacter.s__Acetobacter_malorum	MF0028	0.0	0.0	0.413258
g__Acetobacter.s__Acetobacter_malorum	MF0047	0.0	0.0	0.3721725
g__Acetobacter.s__Acetobacter_malorum	MF0069	0.0	0.0	0.039048
g__Yersiniaceae_unclassified.s__Yersiniaceae_bacterium_2016Iso4	MF0086	0.0	0.0	0.0256485
g__Yersiniaceae_unclassified.s__Yersiniaceae_bacterium_2016Iso4	MF0050	0.0	0.0	0.00206383
g__Staphylococcus.s__Staphylococcus_xylosus	MF0074	0.0	0.0	0.153878
g__Staphylococcus.s__Staphylococcus_xylosus	MF0085	0.0	0.0	0.5325532500000001
g__Staphylococcus.s__Staphylococcus_xylosus	MF0086	0.0	0.0	0.1184815
g__Staphylococcus.s__Staphylococcus_xylosus	MF0050	0.0	0.0	0.2139195
g__Staphylococcus.s__Staphylococcus_xylosus	MF0061	0.0	0.0	0.286628
g__Staphylococcus.s__Staphylococcus_xylosus	MF0040	0.0	0.0	0.2474115
