Taxon	Module	SRR8830669_host_removed__interleaved_Abundance-RPKs	SRR8830667_host_removed__interleaved_Abundance-RPKs	SRR8830668_host_removed__interleaved_Abundance-RPKs	SRR8830666_host_removed__interleaved_Abundance-RPKs
g__Aerococcus.s__Aerococcus_urinaeequi	MF0009	0.153857	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis_group	MF0085	2.07101	0.9861875	3.3312774999999997	14.422675
g__Bacillus.s__Bacillus_subtilis_group	MF0020	10.643790000000001	3.0519499999999997	3.131914	14.204845
g__Bacillus.s__Bacillus_subtilis_group	MF0086	12.1394462	1.353305	2.405895	9.1149445
g__Bacillus.s__Bacillus_subtilis_group	MF0061	34.3027	0.0	0.0	3.60101
g__Bacillus.s__Bacillus_subtilis_group	MF0040	29.654336999999998	2.8351	7.91291	16.533564
g__Bacillus.s__Bacillus_subtilis_group	MF0005	0.0	0.0	6.45966	0.0
g__Bacillus.s__Bacillus_subtilis_group	MF0006	5.41431	4.13984	4.95545	30.4886
g__Bacillus.s__Bacillus_subtilis_group	MF0028	5.69875	10.4512	11.0685	45.5087
g__Bacillus.s__Bacillus_subtilis_group	MF0047	1.67367	2.490565	2.9203	17.05385
g__Bacillus.s__Bacillus_subtilis_group	MF0048	29.796	0.0	2.01688	14.3338
g__Bacillus.s__Bacillus_subtilis_group	MF0001	2.6321	3.50737	4.673	19.8461
g__Bacillus.s__Bacillus_subtilis_group	MF0067	0.0	0.0	4.58497	0.0
g__Bacillus.s__Bacillus_subtilis_group	MF0002	2.05604	2.11435	9.65647	18.688
g__Bacillus.s__Bacillus_subtilis_group	MF0046	28.76	3.37696	10.1738	42.6838
g__Bacillus.s__Bacillus_subtilis_group	MF0068	38.3128	0.0	0.0	0.0
g__Bacillus.s__Bacillus_subtilis_group	MF0021	3.738445	1.201092	4.88751	11.39285
g__Bacillus.s__Bacillus_subtilis_group	MF0022	3.23942	0.0	3.76601	16.7727
