Taxon	Module	K6_S103interleaved_Abundance-RPKs	K4_S101interleaved_Abundance-RPKs	K2_S99interleaved_Abundance-RPKs	K3_S100interleaved_Abundance-RPKs	K5_S102interleaved_Abundance-RPKs	K1_S98interleaved_Abundance-RPKs
g__Sphingomonas.s__Sphingomonas_melonis	MF0075	0.0	0.0	0.0	4.33232	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0086	0.0	0.0	0.0	4.01771	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0050	0.0	0.0	0.0	2.481955	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0072	0.0	0.0	0.0	1.77484	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0040	0.0	0.0	0.0	2.16042	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0051	0.0	0.0	0.0	1.07519	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0006	0.0	0.0	0.0	2.00863	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0028	0.0	0.0	0.0	2.74133	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0039	0.0	0.0	0.0	2.87057	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0047	0.0	0.0	0.0	3.095665	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0048	0.0	0.0	0.0	1.80912	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0001	0.0	0.0	0.0	4.67948	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0012	0.0	0.0	0.0	1.76261	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0035	0.0	0.0	0.0	2.615705	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0087	0.0	0.0	0.0	5.2891	0.0	0.0
g__Sphingomonas.s__Sphingomonas_melonis	MF0044	0.0	0.0	0.0	4.94419	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0085	0.0	0.0	4.1049575	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0075	0.0	0.0	5.92376	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0092	0.0	0.0	2.26517	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0036	0.0	0.0	5.03205	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0047	0.0	0.0	3.287635	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0015	0.0	0.0	2.6989	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0035	0.0	0.0	5.49131	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0046	0.0	0.0	4.17856	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_stutzeri_group	MF0077	0.0	0.0	2.4493199999999997	0.0	0.0	0.0
unclassified	MF0063	0.0	0.0	7.93568	0.0	0.0	0.0
unclassified	MF0085	0.0	0.0	6.45365	0.432125	0.0	11.5326
unclassified	MF0086	0.0	0.0	8.21251	0.0	0.0	8.04394
unclassified	MF0061	0.0	0.0	3.1005633333333336	0.0	0.0	2.830973333333333
unclassified	MF0040	0.0	0.0	5.0739	0.0	0.0	4.135355
unclassified	MF0005	0.0	0.0	36.7156	0.0	0.0	0.0
unclassified	MF0027	0.0	0.0	8.44962	0.0	0.0	4.88117
unclassified	MF0028	0.0	0.0	0.0	0.0	0.0	1.75043
unclassified	MF0025	0.0	0.0	1.29806	0.0	0.0	0.0
unclassified	MF0069	0.0	0.0	4.34237	0.0	0.0	0.0
unclassified	MF0047	0.0	0.0	0.0	0.0	0.0	1.788155
unclassified	MF0026	0.0	0.0	10.698805	0.0	0.0	10.62375
unclassified	MF0048	0.0	0.0	0.0	1.86923	0.0	0.0
unclassified	MF0067	0.0	0.0	14.6802	0.0	0.0	11.1947
unclassified	MF0001	0.0	0.0	0.0	1.18725	0.0	0.0
unclassified	MF0045	0.0	0.0	0.0	0.0	0.0	1.59443
unclassified	MF0002	0.0	0.0	19.6432	0.896274	0.0	20.515
unclassified	MF0068	0.0	0.0	11.9701	0.0	0.0	7.45508
unclassified	MF0065	0.0	0.0	8.454115	0.0	0.0	9.785295000000001
unclassified	MF0087	0.0	0.0	4.01696	0.0	0.0	0.0
unclassified	MF0044	0.0	0.0	9.17537	0.0	0.0	8.40835
unclassified	MF0018	0.0	0.0	5.40583	0.0	0.0	6.61133
unclassified	MF0096	0.0	0.0	3.009795	0.0	0.0	0.0
unclassified	MF0074	0.0	0.0	0.0	2.09026	0.0	0.0
unclassified	MF0075	0.0	0.0	14.716	0.0	0.0	9.34279
unclassified	MF0050	0.0	0.0	5.07845	0.87844	0.0	4.726105
unclassified	MF0072	0.0	0.0	6.42601	0.0	0.0	7.97341
unclassified	MF0051	0.0	0.0	18.7628075	0.0	0.0	20.291725
unclassified	MF0095	0.0	0.0	3.27069	0.0	0.0	0.0
unclassified	MF0070	0.0	0.0	12.2849	0.0	0.0	7.44085
unclassified	MF0092	0.0	0.0	17.7411	0.0	0.0	15.8764
unclassified	MF0071	0.0	0.0	10.788205	0.0	0.0	10.715900000000001
unclassified	MF0091	0.0	0.0	125.52835	0.0	0.0	176.0061
unclassified	MF0038	0.0	0.0	12.8091	0.0	0.0	0.0
unclassified	MF0039	0.0	0.0	1.73474	1.78253	0.0	0.0
unclassified	MF0034	0.0	1.38913	5.26747	0.0	0.0	7.78442
unclassified	MF0012	0.0	0.0	11.6163	0.0	0.0	6.38401
unclassified	MF0035	0.0	0.0	7.74484	0.0	0.0	9.69551
unclassified	MF0079	0.0	0.0	0.0	4.91005	0.0	0.0
unclassified	MF0054	0.0	0.0	12.598492499999999	0.0	0.0	14.803130000000001
unclassified	MF0076	0.0	0.0	10.18648	0.0	0.0	13.255749999999999
unclassified	MF0098	0.0	0.0	0.4686125	0.0	0.0	0.0
unclassified	MF0009	0.0	0.0	12.598	0.0	0.0	6.55746
g__Candidatus_Promineofilum.s__Candidatus_Promineofilum_breve	MF0028	0.0	0.0	2.50031	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0085	0.0	0.0	2.544887	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0075	0.0	0.0	0.359095	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0086	0.0	0.0	0.1663265	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0050	0.0	0.0	0.76554	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0040	0.0	0.0	0.974558	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0051	0.0	0.0	0.11946399999999999	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0092	0.0	0.0	0.274491	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0079	0.0	0.0	0.632352	0.0	0.0	0.0
g__Pseudomonas.s__Pseudomonas_toyotomiensis	MF0076	0.0	0.0	3.50784	0.0	0.0	0.0
