Taxon	Module	PFG_k_B_4_CoM_S11_interleaved_Abundance-RPKs	PFG_k_L_p4_CoM_S16_interleaved_Abundance-RPKs	PFG_k_L_24_CoM_S14_interleaved_Abundance-RPKs	PFG_k_B_24_CoM_S13_interleaved_Abundance-RPKs	PFG_k_L_p4_SM_S30_interleaved_Abundance-RPKs	PFG_k_B_24_SM_S27_interleaved_Abundance-RPKs	PFG_k_L_24_SM_S28_interleaved_Abundance-RPKs	PFG_k_L_4_SM_S26_interleaved_Abundance-RPKs	PFG_k_L_4_CoM_S12_interleaved_Abundance-RPKs	PFG_k_B_p4_CoM_S15_interleaved_Abundance-RPKs	PFG_k_B_4_SM_S25_interleaved_Abundance-RPKs	PFG_k_B_p4_SM_S29_interleaved_Abundance-RPKs
g__Lactobacillus.s__Lactobacillus_helveticus	MF0086	68.1175	0.0	0.0	13.488	0.0	0.0	0.0	7.4641	0.0	0.0	8.6203	0.0
g__Lactobacillus.s__Lactobacillus_helveticus	MF0051	100.7505	0.0	0.0	14.45435	0.0	0.0	0.779075	4.94902	0.0	0.0	10.58655	0.0
g__Lactobacillus.s__Lactobacillus_helveticus	MF0009	165.426	0.0	0.0	41.8031	0.0	0.0	0.0	14.8225	0.0	0.0	0.0	0.0
g__Lactobacillus.s__Lactobacillus_helveticus	MF0092	210.309	0.0	0.0	28.2931	0.0	6.51767	4.47997	12.0342	0.0	0.700452	23.3862	0.0
g__Lactobacillus.s__Lactobacillus_helveticus	MF0048	650.196	0.0	0.0	89.1031	0.0	0.0	60.9094	217.089	0.0	3.5809	72.1482	0.0
g__Lactobacillus.s__Lactobacillus_helveticus	MF0012	28.603	0.0	0.0	4.1274	0.0	0.0	0.0	2.14581	0.0	0.0	0.0	0.0
g__Lactobacillus.s__Lactobacillus_helveticus	MF0002	345.69	0.0	0.0	47.6497	0.0	0.0	4.65997	30.714	0.0	0.0	56.2854	0.0
g__Lactobacillus.s__Lactobacillus_helveticus	MF0044	204.718	0.0	0.0	32.7655	0.0	0.0	7.81092	17.4911	0.0	0.0	28.2219	0.0
g__Lactobacillus.s__Lactobacillus_kefiranofaciens	MF0092	363.895	236.945	377.178	55.0958	8.18817	4.34458	167.279	467.255	647.729	15.7126	46.1462	4.52865
g__Lactobacillus.s__Lactobacillus_kefiranofaciens	MF0048	184.8	168.737	244.774	34.594	8.80654	0.0	82.0653	249.666	284.042	1.47987	27.2321	5.32089
g__Lactobacillus.s__Lactobacillus_kefiranofaciens	MF0002	397.034	205.028	364.74	70.5622	11.1695	0.0	153.442	460.236	659.648	19.9744	47.8122	6.1789
unclassified	MF0020	47.7089	86.74610000000001	77.4202	38.2367	2.4729	0.0	4.343955	7.598435	78.05466500000001	0.0	24.998350000000002	0.0
unclassified	MF0086	7.4254	40.7821	25.89325	33.9999	0.0	0.0	0.0	0.866355	4.52714	69.954	0.0	0.0
unclassified	MF0075	0.0	0.0	3.83093	2.53668	11.4522	8.94996	0.0	0.0	0.0	0.0	0.0	14.2216
unclassified	MF0092	30.9885	246.583	155.711	155.199	0.0	0.0	4.28775	7.99442	17.2584	414.617	9.43382	0.0
