Module	PFG_k_B_4_CoM_S11_interleaved_Abundance-RPKs	PFG_k_L_p4_CoM_S16_interleaved_Abundance-RPKs	PFG_k_L_24_CoM_S14_interleaved_Abundance-RPKs	PFG_k_B_24_CoM_S13_interleaved_Abundance-RPKs	PFG_k_L_p4_SM_S30_interleaved_Abundance-RPKs	PFG_k_B_24_SM_S27_interleaved_Abundance-RPKs	PFG_k_L_24_SM_S28_interleaved_Abundance-RPKs	PFG_k_L_4_SM_S26_interleaved_Abundance-RPKs	PFG_k_L_4_CoM_S12_interleaved_Abundance-RPKs	PFG_k_B_p4_CoM_S15_interleaved_Abundance-RPKs	PFG_k_B_4_SM_S25_interleaved_Abundance-RPKs	PFG_k_B_p4_SM_S29_interleaved_Abundance-RPKs
MF0020	382.62100000000004	296.6015	250.62300000000002	422.822	211.065	313.64	204.60250000000002	164.861	100.86115	453.32	328.90999999999997	252.7885
MF0086	238.299	193.14679999999998	185.39849999999998	405.1005	242.5315	319.425	230.45	135.074	24.5503	367.402	386.1425	269.07
MF0061	98.3345	228.27	138.024	312.225	0.0	0.0	241.298	138.667	73.9996	244.097	212.798	0.0
MF0060	38.7115	0.0	0.0	258.987	0.0	0.0	265.175	129.203	0.0	0.0	212.798	0.0
MF0049	48.03235	245.4735	147.772	405.841	279.3035	381.6735	245.36599999999999	101.1514	17.22985	459.8855	302.8145	316.87
MF0006	0.0	142.143	311.93	46.7785	496.399	293.448	487.321	220.163	32.1916	179.424	23.6369	560.214
MF0047	0.0	0.0	0.0	4.347155	56.57295	12.663	49.20225	35.4818	0.0	0.0	0.0	22.172345
MF0048	1201.65	237.041	330.922	166.531	11.0984	6.60784	202.324	654.113	400.48	10.8455	121.759	5.32089
MF0001	65.2533	231.257	309.244	408.496	716.129	714.993	640.905	230.997	36.7444	446.47	510.915	799.128
MF0067	0.0	208.583	325.636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MF0002	744.157	205.028	364.74	118.212	11.1695	0.0	159.628	496.725	659.648	19.9744	104.098	6.1789
MF0068	558.233	451.198	509.42	576.246	551.215	644.008	639.858	565.841	596.693	602.677	617.975	653.428
MF0021	55.824749999999995	252.322	225.1085	250.66549999999998	345.1405	430.58299999999997	307.5695	158.074	19.09435	398.6665	319.255	356.4105
MF0044	226.257	248.383	256.311	410.04	260.745	313.935	217.903	137.749	68.3087	424.376	326.6	303.088
MF0018	0.0	32.9325	119.17	0.0	0.0	0.0	0.0	0.0	7.64339	0.0	0.0	0.0
MF0074	50.1792	243.488	157.125	424.151	306.301	421.519	267.299	123.196	20.3211	488.091	367.844	344.587
MF0031	269.979	224.361	126.473	822.634	195.831	240.601	169.097	105.052	11.0002	501.802	186.782	140.138
MF0075	0.0	0.0	3.83093	2.53668	11.4522	8.94996	0.0	0.0	0.0	0.0	0.0	14.2216
MF0050	11.08365	41.00395	51.759	122.055	153.3105	202.937	125.1465	70.7205	4.514845	12.9423	247.078	169.4665
MF0072	24.16	38.6499	95.093	5.00263	0.0	0.0	8.10453	30.0563	42.556	0.0	8.48957	0.0
MF0051	200.9765	0.0	0.0	28.4284	0.0	0.0	61.5208675	31.708474999999996	0.0	0.0	104.2946	0.0
MF0070	159.777	339.085	301.905	472.319	568.031	620.138	538.462	256.135	42.2908	538.537	604.145	647.574
MF0092	830.589	967.005	840.466	1142.23	616.559	767.341	712.389	748.204	702.508	1374.72	808.944	721.717
MF0090	28.5467	82.0079	128.746	252.961	306.621	405.874	250.293	141.441	14.3178	83.5203	494.156	338.933
MF0091	0.0	50.53060000000001	71.20660000000001	0.0	0.0	0.0	0.0	0.0	13.5738	0.0	0.0	0.0
MF0017	88.442	201.822	363.476	340.159	441.823	476.465	526.123	372.977	75.4056	0.0	468.628	489.796
MF0015	20.9443	29.7649	82.8422	217.119	241.816	277.895	222.885	70.9302	9.20634	17.0937	290.414	272.322
MF0012	73.7982	218.984	149.2	403.667	307.059	353.815	249.882	132.388	24.9107	439.251	424.226	317.559
MF0010	421.58470000000005	265.1395	391.935	276.3505	143.16175	0.0	199.94	305.043	376.468	237.3782	221.414	166.33845
MF0076	0.0	36.93715	90.32589999999999	0.0	0.0	0.0	0.0	0.0	7.9746950000000005	0.0	0.0	0.0
MF0055	204.738	212.657	135.739	441.916	244.199	253.768	201.686	125.34	0.0	401.053	337.519	239.888
MF0009	165.426	27.625	98.3675	41.8031	0.0	0.0	3.73136	19.133	8.0438	0.0	0.0	0.0
MF0029	0.0	35.0625	95.2945	0.0	0.0	0.0	0.0	0.0	11.5424	0.0	0.0	0.0
MF0008	0.0	245.62339999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
